tag,stemtag,sp,quadrat,lx,ly,survey.ID,year,month,day,dbh,new.band,dendroID,type,dendDiam,dir,dendHt,measure,codes,notes,field.recorders,data.enter,biannual,intraannual,status,stemID,treeID,crown.condition,crown.illum,lianas,measureID
171462,1,qual,1715,7.9,7.5,2019,2019,February,5,845,1,912,2,841,NA,1.32,13.18, , ,"Alyssa Terrell, Becky Banbury Morgan, Ian McGregor",Ian McGregor,1,0,alive,25278,25278,NA,NA,NA,NA
172201,1,cagl,1717,19.5,1.2,2019,2019,February,5,68,1,913,2,66,NA,1.4,44.62,,spring replaced and band tightened,"Alyssa Terrell, Becky Banbury Morgan, Ian McGregor",Ian McGregor,1,0,alive,25503,25503,NA,NA,NA,NA
172416,1,nysy,1725,19.9,15.6,2019,2019,February,4,206,1,914,2,204,NA,1.35,5.42, , ,"Alyssa Terrell, Ian McGregor",Ian McGregor,1,0,alive,25708,25708,NA,NA,NA,NA
182161,1,fram,1822,16.8,3.2,2019,2019,February,8,1087,1,915,2,1074,NA,1.4,4.97, ,tree has flecking. Unsure how much longer alive,"Becky Banbury Morgan, Ian McGregor",Ian McGregor,1,0,alive,27072,27072,NA,NA,NA,NA
192570,1,fram,1931,16.4,16.3,2019,2019,February,4,481,1,916,2,476,NA,1.4,8.82, , ,"Alyssa Terrell, Ian McGregor",Ian McGregor,1,0,alive,28974,28974,NA,NA,NA,NA
200038,1,litu,2001,3.6,9.6,2019,2019,February,5,981,1,917,2,973,NA,1.7,29.1,M;main,dbh POM is 1.6 because stems grew together,"Alyssa Terrell, Becky Banbury Morgan, Ian McGregor",Ian McGregor,1,0,alive,29145,29145,NA,NA,NA,NA
200038,2,litu,2001,3.6,9.6,2019,2019,February,5,865,1,918,2,864,NA,1.7,6.16,S ,dbh POM is 1.6 because stems grew together,"Alyssa Terrell, Becky Banbury Morgan, Ian McGregor",Ian McGregor,1,0,alive,36227,29145,NA,NA,NA,NA
201261,1,juni,2013,0.3,17.3,2019,2019,February,5,492,1,919,2,478,NA,1.4,4.3, , ,"Alyssa Terrell, Becky Banbury Morgan, Ian McGregor",Ian McGregor,1,0,alive,30255,30255,NA,NA,NA,NA
202541,1,fram,2028,2.5,15,2019,2019,February,4,461,1,920,2,461,NA,1.34,4.86, , ,"Alyssa Terrell, Ian McGregor",Ian McGregor,1,0,alive,30903,30903,NA,NA,NA,NA
202543,1,litu,2028,0.5,15.6,2019,2019,February,4,238,1,921,2,230,NA,1.4,5.26, , ,"Alyssa Terrell, Ian McGregor",Ian McGregor,1,0,alive,30905,30905,NA,NA,NA,NA
202545,1,litu,2029,4.5,2.6,2019,2019,February,4,368,1,922,2,368,NA,1.35,4.71, , ,"Alyssa Terrell, Ian McGregor",Ian McGregor,1,0,alive,30907,30907,NA,NA,NA,NA
