tag,stemtag,survey.ID,year,month,day,biannual,intraannual,sp,quadrat,lx,ly,measure,codes,notes,status,field.recorders,data.enter,stemID,treeID,dendDiam,dbh,new.band,dendroID,type,dir,dendHt,crown.condition,crown.illum,lianas,measureID,date,diff_from_previous,survey_ID_correctly_numbered
202215,1,2017.07,2017,7,31,1,1,qual,2017,5.5,11.7,81.34,NA,NA,alive,Ryan Helcoski,Ryan Helcoski,30595,30595,NA,549.9,0,476,2,NA,1.3,NA,NA,NA,NA,2017-07-31,0,FALSE
10671,1,2017.09,2017,8,17,1,1,quru,114,6.2,14.5,9.41,NA,NA,alive,Ryan Helcoski,Ryan Helcoski,1609,1609,NA,851,0,750,2,NA,1.32,NA,NA,NA,NA,2017-08-17,0.02,FALSE
201279,1,2017.12,2017,11,16,1,0,quru,2014,1.9,13,45.86,NA,NA,alive,"Lauren Bowman, Mario Morales",Lauren Bowman,30271,30271,NA,446.3,0,693,2,NA,1.3,NA,NA,NA,NA,2017-11-16,0,FALSE
30584,1,2018.01,2018,3,8,1,0,quve,316,2.2,14.4,64.09,NA,NA,alive,Ryan Helcoski,Ryan Helcoski,4207,4207,NA,873.5,0,688,2,NA,1.32,NA,NA,NA,NA,2018-03-08,0.89,FALSE
40567,1,2018.02,2018,3,8,1,1,fagr,406,1.6,7.2,2.84,NA,NA,alive,Ryan Helcoski,Ryan Helcoski,5044,5044,NA,93.3,0,801,2,NA,1.43,NA,NA,NA,NA,2018-03-08,0.01,FALSE
40568,1,2018.01,2018,3,8,1,1,fagr,406,0.1,5.2,99.59,NA,NA,alive,"Ryan Helcoski, Michael Scott",Ryan Helcoski,5045,5045,NA,169.9,0,728,2,NA,1.39,NA,NA,NA,NA,2018-03-08,-0.01,FALSE
52087,1,2018.01,2018,3,8,1,0,quru,519,1.1,11.1,107.91,I,NA,alive,Ryan Helcoski,Ryan Helcoski,6638,6638,NA,1451,0,690,2,NA,1.3,NA,NA,NA,NA,2018-03-08,0,FALSE
52190,1,2018.13,2018,3,8,1,1,quru,522,16.4,3.4,91.58,NA,NA,alive,Ian McGregor,Ian McGregor,6741,6741,NA,968.5,0,662,2,NA,1.45,NA,NA,NA,NA,2018-03-08,0.12,FALSE
60161,1,2018.01,2018,3,8,1,0,qupr,608,17.5,14.1,81.88,I,NA,alive,"Ryan Helcoski, Michael Scott",Ryan Helcoski,7163,7163,NA,867,0,45,2,NA,1.13,NA,NA,NA,NA,2018-03-08,-0.12,FALSE
40567,1,2018.03,2018,4,6,1,1,fagr,406,1.6,7.2,2.93,NA,NA,alive,Ryan Helcoski,Ryan Helcoski,5044,5044,NA,93.3,0,801,2,NA,1.43,NA,NA,NA,NA,2018-04-06,0.01,FALSE
40568,1,2018.02,2018,4,6,1,1,fagr,406,0.1,5.2,99.61,NA,NA,alive,Ryan Helcoski,Ryan Helcoski,5045,5045,NA,169.9,0,728,2,NA,1.39,NA,NA,NA,NA,2018-04-06,-0.01,FALSE
50654,1,2018.02,2018,4,6,1,1,litu,514,17.2,19.1,29.92,NA,NA,alive,Ryan Helcoski,Ryan Helcoski,6525,6525,NA,717.2,0,689,2,NA,1.45,NA,NA,NA,NA,2018-04-06,0,FALSE
52190,1,2018.01,2018,4,6,1,1,quru,522,16.4,3.4,71.27,NA,NA,alive,Ryan Helcoski,Ryan Helcoski,6741,6741,NA,968.5,0,662,2,NA,1.45,NA,NA,NA,NA,2018-04-06,-0.01,FALSE
40567,1,2018.04,2018,4,26,1,1,fagr,406,1.6,7.2,2.87,NA,NA,alive,Ryan Helcoski,Ryan Helcoski,5044,5044,NA,93.3,0,801,2,NA,1.43,NA,NA,NA,NA,2018-04-26,0.01,FALSE
40568,1,2018.03,2018,4,26,1,1,fagr,406,0.1,5.2,99.71,NA,NA,alive,Ryan Helcoski,Ryan Helcoski,5045,5045,NA,169.9,0,728,2,NA,1.39,NA,NA,NA,NA,2018-04-26,-0.01,FALSE
50654,1,2018.03,2018,4,26,1,1,litu,514,17.2,19.1,29.84,NA,NA,alive,Ryan Helcoski,Ryan Helcoski,6525,6525,NA,717.2,0,689,2,NA,1.45,NA,NA,NA,NA,2018-04-26,0,FALSE
52190,1,2018.02,2018,4,26,1,1,quru,522,16.4,3.4,70.54,NA,NA,alive,Ryan Helcoski,Ryan Helcoski,6741,6741,NA,968.5,0,662,2,NA,1.45,NA,NA,NA,NA,2018-04-26,-0.01,FALSE
40567,1,2018.05,2018,5,15,1,1,fagr,406,1.6,7.2,3.31,NA,NA,alive,Ryan Helcoski,Ryan Helcoski,5044,5044,NA,93.3,0,801,2,NA,1.43,NA,NA,NA,NA,2018-05-15,0.01,FALSE
40568,1,2018.04,2018,5,15,1,1,fagr,406,0.1,5.2,100.3,NA,NA,alive,Ryan Helcoski,Ryan Helcoski,5045,5045,NA,169.9,0,728,2,NA,1.39,NA,NA,NA,NA,2018-05-15,-0.01,FALSE
50654,1,2018.04,2018,5,15,1,1,litu,514,17.2,19.1,30.22,NA,NA,alive,Ryan Helcoski,Ryan Helcoski,6525,6525,NA,717.2,0,689,2,NA,1.45,NA,NA,NA,NA,2018-05-15,0,FALSE
52190,1,2018.03,2018,5,15,1,1,quru,522,16.4,3.4,72.44,NA,NA,alive,Tim McNeil,Ryan Helcoski,6741,6741,NA,968.5,0,662,2,NA,1.45,NA,NA,NA,NA,2018-05-15,-0.01,FALSE
40567,1,2018.06,2018,5,29,1,1,fagr,406,1.6,7.2,4.12,NA,NA,alive,Ryan Helcoski,Ryan Helcoski,5044,5044,NA,93.3,0,801,2,NA,1.43,NA,NA,NA,NA,2018-05-29,0.01,FALSE
40568,1,2018.05,2018,5,29,1,1,fagr,406,0.1,5.2,102.22,NA,NA,alive,Ryan Helcoski,Ryan Helcoski,5045,5045,NA,169.9,0,728,2,NA,1.39,NA,NA,NA,NA,2018-05-29,-0.01,FALSE
50654,1,2018.05,2018,5,29,1,1,litu,514,17.2,19.1,30.72,NA,NA,alive,Ryan Helcoski,Ryan Helcoski,6525,6525,NA,717.2,0,689,2,NA,1.45,NA,NA,NA,NA,2018-05-29,0,FALSE
52190,1,2018.04,2018,5,29,1,1,quru,522,16.4,3.4,76.69,NA,NA,alive,Ryan Helcoski,Ryan Helcoski,6741,6741,NA,968.5,0,662,2,NA,1.45,NA,NA,NA,NA,2018-05-29,-0.01,FALSE
40567,1,2018.07,2018,6,14,1,1,fagr,406,1.6,7.2,4.93,NA,NA,alive,Alyssa Terrell,Ryan Helcoski,5044,5044,NA,93.3,0,801,2,NA,1.43,NA,NA,NA,NA,2018-06-14,0.01,FALSE
40568,1,2018.06,2018,6,14,1,1,fagr,406,0.1,5.2,104.7,NA,NA,alive,Ryan Helcoski,Ryan Helcoski,5045,5045,NA,169.9,0,728,2,NA,1.39,NA,NA,NA,NA,2018-06-14,-0.01,FALSE
50654,1,2018.06,2018,6,14,1,1,litu,514,17.2,19.1,32.34,NA,NA,alive,Ryan Helcoski,Ryan Helcoski,6525,6525,NA,717.2,0,689,2,NA,1.45,NA,NA,NA,NA,2018-06-14,0,FALSE
52190,1,2018.05,2018,6,14,1,1,quru,522,16.4,3.4,79.53,NA,NA,alive,Ryan Helcoski,Ryan Helcoski,6741,6741,NA,968.5,0,662,2,NA,1.45,NA,NA,NA,NA,2018-06-14,-0.01,FALSE
40567,1,2018.08,2018,6,29,1,1,fagr,406,1.6,7.2,5.46,NA,NA,alive,Alyssa Terrell,Ryan Helcoski,5044,5044,NA,93.3,0,801,2,NA,1.43,NA,NA,NA,NA,2018-06-29,0.01,FALSE
40568,1,2018.07,2018,6,29,1,1,fagr,406,0.1,5.2,104.7,NA,NA,alive,Alyssa Terrell,Ryan Helcoski,5045,5045,NA,169.9,0,728,2,NA,1.39,NA,NA,NA,NA,2018-06-29,-0.01,FALSE
50654,1,2018.07,2018,6,29,1,1,litu,514,17.2,19.1,34.52,NA,NA,alive,Alyssa Terrell,Ryan Helcoski,6525,6525,NA,717.2,0,689,2,NA,1.45,NA,NA,NA,NA,2018-06-29,0,FALSE
52190,1,2018.06,2018,6,29,1,1,quru,522,16.4,3.4,83.2,NA,NA,alive,Maya Prestipino,Ryan Helcoski,6741,6741,NA,968.5,0,662,2,NA,1.45,NA,NA,NA,NA,2018-06-29,-0.01,FALSE
40567,1,2018.09,2018,7,12,1,1,fagr,406,1.6,7.2,5.51,NA,NA,alive,Ryan Helcoski,Ryan Helcoski,5044,5044,NA,93.3,0,801,2,NA,1.43,NA,NA,NA,NA,2018-07-12,0.01,FALSE
40568,1,2018.08,2018,7,12,1,1,fagr,406,0.1,5.2,107.97,NA,NA,alive,Alyssa Terrell,Ryan Helcoski,5045,5045,NA,169.9,0,728,2,NA,1.39,NA,NA,NA,NA,2018-07-12,-0.01,FALSE
50654,1,2018.08,2018,7,12,1,1,litu,514,17.2,19.1,35.17,NA,NA,alive,Alyssa Terrell,Ryan Helcoski,6525,6525,NA,717.2,0,689,2,NA,1.45,NA,NA,NA,NA,2018-07-12,0,FALSE
52190,1,2018.07,2018,7,12,1,1,quru,522,16.4,3.4,86.86,NA,NA,alive,Maya Prestipino,Ryan Helcoski,6741,6741,NA,968.5,0,662,2,NA,1.45,NA,NA,NA,NA,2018-07-12,-0.01,FALSE
40567,1,2018.1,2018,7,26,1,1,fagr,406,1.6,7.2,6,NA,NA,alive,Ryan Helcoski,Ryan Helcoski,5044,5044,NA,93.3,0,801,2,NA,1.43,NA,NA,NA,NA,2018-07-26,0.01,FALSE
40568,1,2018.09,2018,7,26,1,1,fagr,406,0.1,5.2,108.35,NA,NA,alive,Ryan Helcoski,Ryan Helcoski,5045,5045,NA,169.9,0,728,2,NA,1.39,NA,NA,NA,NA,2018-07-26,-0.01,FALSE
50654,1,2018.09,2018,7,26,1,1,litu,514,17.2,19.1,37.03,NA,NA,alive,Ryan Helcoski,Ryan Helcoski,6525,6525,NA,717.2,0,689,2,NA,1.45,NA,NA,NA,NA,2018-07-26,0,FALSE
52190,1,2018.08,2018,7,26,1,1,quru,522,16.4,3.4,86.76,NA,NA,alive,Maya Prestipino,Ryan Helcoski,6741,6741,NA,968.5,0,662,2,NA,1.45,NA,NA,NA,NA,2018-07-26,-0.01,FALSE
40567,1,2018.11,2018,8,9,1,1,fagr,406,1.6,7.2,6.08,NA,NA,alive,Ryan Helcoski,Ian McGregor,5044,5044,NA,93.3,0,801,2,NA,1.43,NA,NA,NA,NA,2018-08-09,0.01,FALSE
40568,1,2018.1,2018,8,9,1,1,fagr,406,0.1,5.2,110.18,NA,NA,alive,Ryan Helcoski,Ryan Helcoski,5045,5045,NA,169.9,0,728,2,NA,1.39,NA,NA,NA,NA,2018-08-09,-0.01,FALSE
50654,1,2018.1,2018,8,9,1,1,litu,514,17.2,19.1,38.74,NA,NA,alive,Ryan Helcoski,Ryan Helcoski,6525,6525,NA,717.2,0,689,2,NA,1.45,NA,NA,NA,NA,2018-08-09,0,FALSE
52190,1,2018.09,2018,8,9,1,1,quru,522,16.4,3.4,88.5,NA,NA,alive,Mario Morales,Ryan Helcoski,6741,6741,NA,968.5,0,662,2,NA,1.45,NA,NA,NA,NA,2018-08-09,-0.01,FALSE
40567,1,2018.12,2018,8,23,1,1,fagr,406,1.6,7.2,6.52,NA,NA,alive,"Alyssa Terrell, Ian McGregor",Ian McGregor,5044,5044,NA,93.3,0,801,2,NA,1.43,NA,NA,NA,NA,2018-08-23,0.01,FALSE
40568,1,2018.11,2018,8,23,1,1,fagr,406,0.1,5.2,111.66,NA,NA,alive,Ryan Helcoski,Ian McGregor,5045,5045,NA,169.9,0,728,2,NA,1.39,NA,NA,NA,NA,2018-08-23,-0.01,FALSE
50654,1,2018.11,2018,8,23,1,1,litu,514,17.2,19.1,39.28,NA,NA,alive,Ryan Helcoski,Ian McGregor,6525,6525,NA,717.2,0,689,2,NA,1.45,NA,NA,NA,NA,2018-08-23,0,FALSE
52190,1,2018.1,2018,8,23,1,1,quru,522,16.4,3.4,90.27,NA,NA,alive,"Sofia Altamirano, Eliana Garcia (UCSB), Ryan Helcoski",Ryan Helcoski,6741,6741,NA,968.5,0,662,2,NA,1.45,NA,NA,NA,NA,2018-08-23,-0.01,FALSE
40567,1,2018.13,2018,9,28,1,1,fagr,406,1.6,7.2,6.47,NA,NA,alive,"Alyssa Terrell, Ian McGregor",Ian McGregor,5044,5044,NA,93.3,0,801,2,NA,1.43,NA,NA,NA,NA,2018-09-28,0.01,FALSE
40568,1,2018.12,2018,9,28,1,1,fagr,406,0.1,5.2,113.28,NA,NA,alive,"Alyssa Terrell, Ian McGregor",Ian McGregor,5045,5045,NA,169.9,0,728,2,NA,1.39,NA,NA,NA,NA,2018-09-28,-0.01,FALSE
50654,1,2018.12,2018,9,28,1,1,litu,514,17.2,19.1,39.39,NA,NA,alive,"Alyssa Terrell, Ian McGregor",Ian McGregor,6525,6525,NA,717.2,0,689,2,NA,1.45,NA,NA,NA,NA,2018-09-28,0,FALSE
52190,1,2018.11,2018,9,28,1,1,quru,522,16.4,3.4,89.67,NA,NA,alive,Ian McGregor,Ian McGregor,6741,6741,NA,968.5,0,662,2,NA,1.45,NA,NA,NA,NA,2018-09-28,-0.01,FALSE
50654,1,2018.13,2018,10,18,1,1,litu,514,17.2,19.1,39.83,NA,NA,alive,"Alyssa Terrell, Ian McGregor",Ian McGregor,6525,6525,NA,717.2,0,689,2,NA,1.45,NA,NA,NA,NA,2018-10-18,0,FALSE
52190,1,2018.12,2018,10,18,1,1,quru,522,16.4,3.4,90.87,NA,NA,alive,Ian McGregor,Ian McGregor,6741,6741,NA,968.5,0,662,2,NA,1.45,NA,NA,NA,NA,2018-10-18,-0.01,FALSE
202971,1,2018.14,2018,11,8,1,0,fram,2032,5.6,10.2,NA,DS,"check status, looks unhealthy",dead,"Michael Scott, Rebecca Banbury Morgan, Ian McGregor",Ian McGregor,31191,31191,NA,455,0,829,2,NA,1.35,4,4,NA,NA,2018-11-08,0,FALSE
80100,1,2019,2019,1,23,1,0,litu,804,3.4,12.6,17.24,NA,NA,alive,"Alyssa Terrell, Ian McGregor",Ian McGregor,9197,9197,586,582,1,903,2,NA,1.4,NA,NA,NA,NA,2019-01-23,0.86,FALSE
202586,1,2019.01,2019,3,28,1,0,fram,2032,4.2,5.3,42.62,NA,NA,alive,"Fanfan, Helen Bontrager",Ian McGregor,30942,30942,NA,438.9,0,687,2,NA,1.3,NA,NA,NA,NA,2019-03-28,0,FALSE
30234,1,2019.011,2019,4,3,1,1,fagr,306,15.3,18.5,10.62,NA,NA,alive,"Valentine Herrmann, Ian McGregor",Ian McGregor,3875,3875,80,81,1,924,2,NA,1.4,NA,NA,NA,NA,2019-04-03,0.001,FALSE
192133,1,2019.011,2019,4,4,1,0,caovl,1923,11.7,2.3,7.85,NA,NA,alive,"Norbert Kunert, Ian McGregor",Ian McGregor,28553,28553,556,565,1,949,2,NA,1.4,NA,NA,NA,NA,2019-04-04,0,FALSE
10671,1,2019.02,2019,4,11,1,1,quru,114,6.2,14.5,28.07,NA,NA,alive,Ian McGregor,Ian McGregor,1609,1609,NA,851,0,750,2,NA,1.32,NA,NA,NA,NA,2019-04-11,0.009,FALSE
202215,1,2019.02,2019,4,11,1,1,qual,2017,5.5,11.7,88.86,NA,NA,alive,Rebecca Banbury Morgan,Ian McGregor,30595,30595,NA,549.9,0,476,2,NA,1.3,NA,NA,NA,NA,2019-04-11,0,FALSE
40562,1,2019.021,2019,4,18,1,1,fagr,406,6.3,16.2,8.86,NA,NA,alive,"Alyssa Terrell, Ian McGregor",Ian McGregor,5039,5039,86,86,1,952,2,NA,1.4,NA,NA,NA,NA,2019-04-18,0.001,FALSE
180903,1,2019.021,2019,4,18,1,0,litu,1808,4.8,2.3,12.55,NA,NA,alive,"Alyssa Terrell, Ian McGregor",Ian McGregor,26694,26694,326,327,1,958,2,NA,1.35,NA,NA,NA,NA,2019-04-18,0,FALSE
10671,1,2019.03,2019,4,25,1,1,quru,114,6.2,14.5,27.16,NA,NA,alive,Alyssa Terrell,Ian McGregor,1609,1609,NA,851,0,750,2,NA,1.32,NA,NA,NA,NA,2019-04-25,0.009,FALSE
202215,1,2019.04,2019,5,9,1,1,qual,2017,5.5,11.7,91.44,NA,NA,alive,Ian McGregor,Ian McGregor,30595,30595,NA,549.9,0,476,2,NA,1.3,NA,NA,NA,NA,2019-05-09,0,FALSE
40565,1,2019.041,2019,5,21,1,1,cagl,406,1.9,10.1,8.1,NA,NA,alive,"Alyssa Terrell, Ian McGregor",Ian McGregor,5042,5042,183,184,1,959,2,NA,1.4,NA,NA,NA,NA,2019-05-21,0.001,FALSE
192544,1,2019.041,2019,5,21,1,1,litu,1929,14.4,1.8,11.93,NA,NA,alive,"Alyssa Terrell, Ian McGregor",Ian McGregor,28950,28950,349,349,1,964,2,NA,1.4,NA,NA,NA,NA,2019-05-21,0,FALSE
10671,1,2019.05,2019,5,22,1,1,quru,114,6.2,14.5,40.65,NA,NA,alive,Ian McGregor,Ian McGregor,1609,1609,NA,851,0,750,2,NA,1.32,NA,NA,NA,NA,2019-05-22,0.009,FALSE
60569,1,2019.05,2019,5,22,1,1,caca,614,19.4,16.2,32.27,RE,NA,alive,Ian McGregor,Ian McGregor,7548,7548,NA,89.5,0,574,2,NA,1.32,NA,NA,NA,NA,2019-05-22,0,FALSE
60569,1,2019.051,2019,5,22,1,1,caca,614,19.4,16.2,7.85,NA,NA,alive,"Erika Gonzalez-Akre, Ian McGregor",Ian McGregor,7548,7548,100,100,1,966,2,NA,1.4,NA,NA,NA,NA,2019-05-22,0.001,FALSE
60571,1,2019.05,2019,5,22,1,1,caca,614,12,17.4,23.34,NA,NA,alive,Ian McGregor,Ian McGregor,7550,7550,NA,116,0,576,2,NA,1.48,NA,NA,NA,NA,2019-05-22,-0.001,FALSE
202215,1,2019.06,2019,6,4,1,1,qual,2017,5.5,11.7,92.6,NA,NA,alive,Ian McGregor,Ian McGregor,30595,30595,NA,549.9,0,476,2,NA,1.3,NA,NA,NA,NA,2019-06-04,0,FALSE
70220,1,2019.061,2019,6,18,1,1,qual,702,18.3,0.8,10.3,NA,NA,alive,"Carl Malinsky, Jack Rosa, Ian McGregor",Ian McGregor,8238,8238,550,557,1,967,2,NA,1.4,NA,NA,NA,NA,2019-06-18,0.001,FALSE
182693,1,2019.061,2019,6,19,1,0,litu,1830,15.3,13.2,13.74,NA,NA,alive,"Carl Malinsky, Jack Rosa, Ian McGregor",Ian McGregor,27584,27584,677,680,1,972,2,NA,1.4,NA,NA,NA,NA,2019-06-19,0,FALSE
10671,1,2019.07,2019,6,20,1,1,quru,114,6.2,14.5,45.51,NA,NA,alive,Ian McGregor,Ian McGregor,1609,1609,NA,851,0,750,2,NA,1.32,NA,NA,NA,NA,2019-06-20,0.009,FALSE
202215,1,2019.07,2019,6,20,1,1,qual,2017,5.5,11.7,93.28,NA,NA,alive,Ian McGregor,Ian McGregor,30595,30595,NA,549.9,0,476,2,NA,1.3,NA,NA,NA,NA,2019-06-20,0,FALSE
72116,1,2019.071,2019,6,26,1,1,litu,719,14.4,10.8,18.05,NA,NA,alive,"Elizabeth Woolford, Ian McGregor",Ian McGregor,8761,8761,498,502,1,973,2,NA,1.4,NA,NA,NA,NA,2019-06-26,0.001,FALSE
190067,1,2019.071,2019,6,26,1,1,litu,1902,19,2.2,14.18,NA,NA,alive,"Elizabeth Woolford, Ian McGregor",Ian McGregor,27685,27685,734,739,1,974,2,NA,1.4,NA,NA,NA,NA,2019-06-26,0,FALSE
10671,1,2019.08,2019,7,11,1,1,quru,114,6.2,14.5,48.58,NA,NA,alive,Ian McGregor,Ian McGregor,1609,1609,NA,851,0,750,2,NA,1.32,NA,NA,NA,NA,2019-07-11,0.009,FALSE
202215,1,2019.09,2019,7,25,1,1,qual,2017,5.5,11.7,94.71,NA,needs nail for tag,alive,Ian McGregor,Ian McGregor,30595,30595,NA,549.9,0,476,2,NA,1.3,NA,NA,NA,NA,2019-07-25,0,FALSE
40568,1,2019.091,2019,8,5,1,1,fagr,406,0.1,5.2,9.77,NA,NA,alive,"Rebecca Banbury Morgan, Ian McGregor","Alyssa Terrell, Ian McGregor",5045,5045,203,206,1,975,2,NA,1.4,NA,NA,NA,NA,2019-08-05,0.001,FALSE
160985,1,2019.091,2019,8,5,1,1,litu,1612,1.2,17.2,10.88,NA,NA,alive,"Rebecca Banbury Morgan, Ian McGregor","Alyssa Terrell, Ian McGregor",23254,23254,868,873,1,978,2,NA,1.25,NA,NA,NA,NA,2019-08-05,0,FALSE
10671,1,2019.1,2019,8,8,1,1,quru,114,6.2,14.5,49.87,NA,NA,alive,Ian McGregor,Ian McGregor,1609,1609,NA,851,0,750,2,NA,1.32,NA,NA,NA,NA,2019-08-08,0.009,FALSE
202586,1,2019.15,2019,11,6,1,0,fram,2032,4.2,5.3,48.89,NA,NA,alive,"Cameron Dow, Helen Bontrager, Zoi Paraskevopoulou",Alyssa Terrell,30942,30942,NA,438.9,0,687,2,NA,1.3,NA,NA,NA,NA,2019-11-06,0,FALSE
10469,1,2020.01,2020,3,11,1,0,litu,109,9.7,1,NA,RE,window too large to measure,alive,Cameron Dow,Jessica Shue,1419,1419,NA,838.8,0,632,2,NA,1.4,NA,NA,NA,NA,2020-03-11,0.86,FALSE
