tag,stemtag,survey.ID,exactdate,biannual,intraannual,sp,quadrat,gx,gy,measure,codes,status,notes,location,field recorders,data enter,stemID,treeID,date,dendDiam,dbh,dendroID,type,dir,dendHt,crown,illum,lianas,measureID
12025,1,2018.1,8/9/2018,1,1,quru,117,5,336.2999878,15.42,,alive,,North,"Sofia Altamirano, Eliana Garcia (UCSB), Ryan Helcoski",Ryan Helcoski,1713,1713,,,832.5,,2,,1.3,3,4,,
12025,1,2018.11,8/23/2018,1,1,quru,117,5,336.2999878,15.92,,alive,,North,Ian McGregor,Ian McGregor,1713,1713,,,832.5,,2,,1.3,3,4,,
12025,1,2018.12,9/28/2018,1,1,quru,117,5,336.2999878,NA,,alive,,North,Ian McGregor,Ian McGregor,1713,1713,,,832.5,,2,,1.3,3,4,,
12025,1,2018.13,10/18/2018,1,1,quru,117,5,336.2999878,NA,,alive,,North,Ian McGregor,Ian McGregor,1713,1713,,,832.5,,2,,1.3,3,4,,
12101,1,2018.01,3/9/2018,1,0,quru,120,10.69999981,381.8999939,NA,DC,dead,,North,Ryan Helcoski,Ryan Helcoski,1786,1786,,,0,,2,,1.42,3,4,,
12259,1,2018.01,3/9/2018,1,0,litu,125,16.29999924,481.5,31.51,I,alive,,North,Ryan Helcoski,Ryan Helcoski,1934,1934,,,1018.8,,2,,1.23,4,4,,
12270,1,2018.01,3/9/2018,1,0,tiam,125,19.39999962,499.6000061,47.33,,alive,,North,Ryan Helcoski,Ryan Helcoski,1942,1942,,,280.7,,2,,1.19,4,4,,
12308,1,2018.01,3/9/2018,1,0,caca,126,11.69999981,500.6000061,NA,,dead,,North,Ryan Helcoski,Ryan Helcoski,1977,1977,,,106,,2,,1.22,4,2,,
12508,1,2018.01,3/9/2018,1,0,litu,131,10.69999981,610.4000244,133.16,,alive,,North,Ryan Helcoski,Ryan Helcoski,2157,2157,,,889.2,,2,,1.3,4,4,,
20432,1,2018.01,3/9/2018,1,0,fram,204,23.5,79.80000305,NA,,dead,,South,Ryan Helcoski,Ryan Helcoski,2661,2661,,,550.5,,2,,1.35,3,5,,
20587,1,2018.01,3/9/2018,1,0,litu,208,34.79999924,141.3000031,88.54,I,alive,,South,Ryan Helcoski,Ryan Helcoski,2778,2778,,,1207.3,,2,,1.33,4,5,,
20603,1,2018.01,3/9/2018,1,0,fram,208,26,152.8000031,120.17,,alive,,South,Ryan Helcoski,Ryan Helcoski,2793,2793,,,840.8,,2,,1.33,3,4,,
20617,1,2018.01,3/9/2018,1,0,litu,209,26.89999962,167.6000061,12.9,,alive,,South,Ryan Helcoski,Ryan Helcoski,2807,2807,,,851,,2,,1.32,3,4,,
20712,1,2018.01,3/9/2018,1,0,litu,212,21.5,228.3000031,27.7,,alive,,South,Ryan Helcoski,Ryan Helcoski,2897,2897,,,896.2,,2,,1.45,4,4,,
22004,2,2018.01,3/9/2018,1,0,litu,217,28.60000038,321.7000122,132,M; main,alive,,North,Ryan Helcoski,Ryan Helcoski,32560,3037,,,810,,2,,1.3,3,4,,
22041,1,2018.01,3/9/2018,1,0,litu,217,21.79999924,339,25.74,,alive,,North,Ryan Helcoski,Ryan Helcoski,3072,3072,,,817,,2,,1.32,3,4,,
22170,1,2018.01,3/9/2018,1,0,litu,221,27.89999962,413.7999878,26,I,alive,,North,Ryan Helcoski,Ryan Helcoski,3197,3197,,,1128,,2,,1.2,3,4,,
22333,1,2018.01,3/9/2018,1,0,fram,226,25.5,502.7000122,48.79,M; main,alive,,North,Ryan Helcoski,Ryan Helcoski,3354,3354,,,421.6,,2,,0.97,4,4,,
30039,1,2018.01,3/9/2018,1,0,fram,302,44.59999847,22.70000076,NA,,dead,,South,Michael Scott,Ryan Helcoski,3702,3702,,,932,,2,,1.3,3,4,,
30225,1,2018.01,3/9/2018,1,1,qual,306,60,103.0999985,21.81,,alive,,South,Michael Scott,Ryan Helcoski,3866,3866,,,301,,2,,1.42,4,3,,
30225,1,2018.02,4/6/2018,1,1,qual,306,60,103.0999985,21.33,,alive,,South,Ryan Helcoski,Ryan Helcoski,3866,3866,,,301,,2,,1.42,4,3,,
30225,1,2018.03,4/26/2018,1,1,qual,306,60,103.0999985,22.51,,alive,,South,Ryan Helcoski,Ryan Helcoski,3866,3866,,,301,,2,,1.42,4,3,,
30225,1,2018.04,5/15/2018,1,1,qual,306,60,103.0999985,23.64,,alive,,South,Ryan Helcoski,Ryan Helcoski,3866,3866,,,301,,2,,1.42,4,3,,
30225,1,2018.05,5/29/2018,1,1,qual,306,60,103.0999985,24.69,,alive,,South,Ryan Helcoski,Ryan Helcoski,3866,3866,,,301,,2,,1.42,4,3,,
30225,1,2018.06,6/14/2018,1,1,qual,306,60,103.0999985,26.31,,alive,,South,Ryan Helcoski,Ryan Helcoski,3866,3866,,,301,,2,,1.42,4,3,,
30225,1,2018.07,6/29/2018,1,1,qual,306,60,103.0999985,25.1,,alive,,South,Alyssa Terrell,Ryan Helcoski,3866,3866,,,301,,2,,1.42,4,3,,
30225,1,2018.08,7/12/2018,1,1,qual,306,60,103.0999985,25.53,,alive,,South,Alyssa Terrell,Ryan Helcoski,3866,3866,,,301,,2,,1.42,4,3,,
30225,1,2018.09,7/26/2018,1,1,qual,306,60,103.0999985,26.91,,alive,,South,Ryan Helcoski,Ryan Helcoski,3866,3866,,,301,,2,,1.42,4,3,,
30225,1,2018.1,8/9/2018,1,1,qual,306,60,103.0999985,26.23,,alive,,South,Ryan Helcoski,Ryan Helcoski,3866,3866,,,301,,2,,1.42,4,3,,
30225,1,2018.11,8/23/2018,1,1,qual,306,60,103.0999985,26.47,,alive,,South,Ryan Helcoski,Ian McGregor,3866,3866,,,301,,2,,1.42,4,3,,
30225,1,2018.12,9/28/2018,1,1,qual,306,60,103.0999985,26.95,,alive,,South,"Alyssa Terrall, Ian McGregor",Ian McGregor,3866,3866,,,301,,2,,1.42,4,3,,
30225,1,2018.13,10/18/2018,1,1,qual,306,60,103.0999985,26.73,,alive,,South,"Alyssa Terrall, Ian McGregor",Ian McGregor,3866,3866,,,301,,2,,1.42,4,3,,
30233,1,2018.01,3/9/2018,1,1,fagr,306,55.59999847,116.1999969,129.3,,alive,discrepancy with written field data\,South,Michael Scott,Ryan Helcoski,3874,3874,,,1046.8,,2,,1.28,4,4,,
30233,1,2018.02,4/6/2018,1,1,fagr,306,55.59999847,116.1999969,131.8,,alive,,South,Ryan Helcoski,Ryan Helcoski,3874,3874,,,1046.8,,2,,1.28,4,4,,
30233,1,2018.03,4/26/2018,1,1,fagr,306,55.59999847,116.1999969,132.47,,alive,,South,Ryan Helcoski,Ryan Helcoski,3874,3874,,,1046.8,,2,,1.28,4,4,,
30233,1,2018.04,5/15/2018,1,1,fagr,306,55.59999847,116.1999969,133.5,,alive,,South,Ryan Helcoski,Ryan Helcoski,3874,3874,,,1046.8,,2,,1.28,4,4,,
30233,1,2018.05,5/29/2018,1,1,fagr,306,55.59999847,116.1999969,134.98,,alive,,South,Ryan Helcoski,Ryan Helcoski,3874,3874,,,1046.8,,2,,1.28,4,4,,
30233,1,2018.06,6/14/2018,1,1,fagr,306,55.59999847,116.1999969,137.36,,alive,,South,Ryan Helcoski,Ryan Helcoski,3874,3874,,,1046.8,,2,,1.28,4,4,,
30233,1,2018.07,6/29/2018,1,1,fagr,306,55.59999847,116.1999969,139.66,,alive,,South,Alyssa Terrell,Ryan Helcoski,3874,3874,,,1046.8,,2,,1.28,4,4,,
30233,1,2018.08,7/12/2018,1,1,fagr,306,55.59999847,116.1999969,140.91,,alive,,South,Alyssa Terrell,Ryan Helcoski,3874,3874,,,1046.8,,2,,1.28,4,4,,
30233,1,2018.09,7/26/2018,1,1,fagr,306,55.59999847,116.1999969,144.03,,alive,,South,Ryan Helcoski,Ryan Helcoski,3874,3874,,,1046.8,,2,,1.28,4,4,,
30233,1,2018.1,8/9/2018,1,1,fagr,306,55.59999847,116.1999969,144.49,,alive,,South,Ryan Helcoski,Ryan Helcoski,3874,3874,,,1046.8,,2,,1.28,4,4,,
30233,1,2018.11,8/23/2018,1,1,fagr,306,55.59999847,116.1999969,145.71,,alive,,South,Ryan Helcoski,Ian McGregor,3874,3874,,,1046.8,,2,,1.28,4,4,,
30233,1,2018.12,9/28/2018,1,1,fagr,306,55.59999847,116.1999969,146.96,,alive,,South,"Alyssa Terrall, Ian McGregor",Ian McGregor,3874,3874,,,1046.8,,2,,1.28,4,4,,
30233,1,2018.13,10/18/2018,1,1,fagr,306,55.59999847,116.1999969,149.22,,alive,,South,"Alyssa Terrall, Ian McGregor",Ian McGregor,3874,3874,,,1046.8,,2,,1.28,4,4,,
30234,1,2018.01,3/9/2018,1,1,fagr,306,55.29999924,118.5,31.41,,alive,,South,Michael Scott,Ryan Helcoski,3875,3875,,,71.5,,2,,1.4,4,2,,
30234,1,2018.02,4/6/2018,1,1,fagr,306,55.29999924,118.5,32.19,,alive,,South,Ryan Helcoski,Ryan Helcoski,3875,3875,,,71.5,,2,,1.4,4,2,,
30234,1,2018.03,4/26/2018,1,1,fagr,306,55.29999924,118.5,32.44,,alive,,South,Ryan Helcoski,Ryan Helcoski,3875,3875,,,71.5,,2,,1.4,4,2,,
30234,1,2018.04,5/15/2018,1,1,fagr,306,55.29999924,118.5,32.39,,alive,,South,Ryan Helcoski,Ryan Helcoski,3875,3875,,,71.5,,2,,1.4,4,2,,
30234,1,2018.05,5/29/2018,1,1,fagr,306,55.29999924,118.5,32.45,,alive,,South,Ryan Helcoski,Ryan Helcoski,3875,3875,,,71.5,,2,,1.4,4,2,,
30234,1,2018.06,6/14/2018,1,1,fagr,306,55.29999924,118.5,32.68,,alive,,South,Ryan Helcoski,Ryan Helcoski,3875,3875,,,71.5,,2,,1.4,4,2,,
30234,1,2018.07,6/29/2018,1,1,fagr,306,55.29999924,118.5,33.8,,alive,,South,Alyssa Terrell,Ryan Helcoski,3875,3875,,,71.5,,2,,1.4,4,2,,
30234,1,2018.08,7/12/2018,1,1,fagr,306,55.29999924,118.5,33.53,,alive,,South,Alyssa Terrell,Ryan Helcoski,3875,3875,,,71.5,,2,,1.4,4,2,,
30234,1,2018.09,7/26/2018,1,1,fagr,306,55.29999924,118.5,33.98,,alive,,South,Ryan Helcoski,Ryan Helcoski,3875,3875,,,71.5,,2,,1.4,4,2,,
30234,1,2018.1,8/9/2018,1,1,fagr,306,55.29999924,118.5,33.8,,alive,,South,Ryan Helcoski,Ryan Helcoski,3875,3875,,,71.5,,2,,1.4,4,2,,
30234,1,2018.11,8/23/2018,1,1,fagr,306,55.29999924,118.5,33.89,,alive,,South,Ryan Helcoski,Ian McGregor,3875,3875,,,71.5,,2,,1.4,4,2,,
30234,1,2018.12,9/28/2018,1,1,fagr,306,55.29999924,118.5,34.39,,alive,,South,"Alyssa Terrall, Ian McGregor",Ian McGregor,3875,3875,,,71.5,,2,,1.4,4,2,,
30234,1,2018.13,10/18/2018,1,1,fagr,306,55.29999924,118.5,34.29,,alive,,South,"Alyssa Terrall, Ian McGregor",Ian McGregor,3875,3875,,,71.5,,2,,1.4,4,2,,
30331,1,2018.01,3/9/2018,1,1,cagl,306,48.29999924,119.5,26.24,,alive,,South,Michael Scott,Ryan Helcoski,3967,3967,,,216,,2,,1.46,4,3,,
30331,1,2018.02,4/6/2018,1,1,cagl,306,48.29999924,119.5,26.86,,alive,,South,Ryan Helcoski,Ryan Helcoski,3967,3967,,,216,,2,,1.46,4,3,,
30331,1,2018.03,4/26/2018,1,1,cagl,306,48.29999924,119.5,28.17,,alive,,South,Ryan Helcoski,Ryan Helcoski,3967,3967,,,216,,2,,1.46,4,3,,
30331,1,2018.04,5/15/2018,1,1,cagl,306,48.29999924,119.5,30.12,,alive,,South,Ryan Helcoski,Ryan Helcoski,3967,3967,,,216,,2,,1.46,4,3,,
30331,1,2018.05,5/29/2018,1,1,cagl,306,48.29999924,119.5,31.67,,alive,,South,Ryan Helcoski,Ryan Helcoski,3967,3967,,,216,,2,,1.46,4,3,,
30331,1,2018.06,6/14/2018,1,1,cagl,306,48.29999924,119.5,33.95,,alive,,South,Ryan Helcoski,Ryan Helcoski,3967,3967,,,216,,2,,1.46,4,3,,
30331,1,2018.07,6/29/2018,1,1,cagl,306,48.29999924,119.5,35.02,,alive,,South,Alyssa Terrell,Ryan Helcoski,3967,3967,,,216,,2,,1.46,4,3,,
30331,1,2018.08,7/12/2018,1,1,cagl,306,48.29999924,119.5,34.66,,alive,,South,Alyssa Terrell,Ryan Helcoski,3967,3967,,,216,,2,,1.46,4,3,,
30331,1,2018.09,7/26/2018,1,1,cagl,306,48.29999924,119.5,35.02,,alive,,South,Ryan Helcoski,Ryan Helcoski,3967,3967,,,216,,2,,1.46,4,3,,
30331,1,2018.1,8/9/2018,1,1,cagl,306,48.29999924,119.5,35.55,,alive,,South,Ryan Helcoski,Ryan Helcoski,3967,3967,,,216,,2,,1.46,4,3,,
30331,1,2018.11,8/23/2018,1,1,cagl,306,48.29999924,119.5,35.81,,alive,,South,Ryan Helcoski,Ian McGregor,3967,3967,,,216,,2,,1.46,4,3,,
30331,1,2018.12,9/28/2018,1,1,cagl,306,48.29999924,119.5,36.24,,alive,,South,"Alyssa Terrall, Ian McGregor",Ian McGregor,3967,3967,,,216,,2,,1.46,4,3,,
30331,1,2018.13,10/18/2018,1,1,cagl,306,48.29999924,119.5,35.52,,alive,,South,"Alyssa Terrall, Ian McGregor",Ian McGregor,3967,3967,,,216,,2,,1.46,4,3,,
30333,1,2018.01,3/9/2018,1,1,fagr,306,54,119.3000031,23.9,,alive,,South,Michael Scott,Ryan Helcoski,3969,3969,,,222,,2,,1.52,4,3,,
30333,1,2018.02,4/6/2018,1,1,fagr,306,54,119.3000031,23.24,,alive,,South,Ryan Helcoski,Ryan Helcoski,3969,3969,,,222,,2,,1.52,4,3,,
30333,1,2018.03,4/26/2018,1,1,fagr,306,54,119.3000031,24.36,,alive,,South,Ryan Helcoski,Ryan Helcoski,3969,3969,,,222,,2,,1.52,4,3,,
30333,1,2018.04,5/15/2018,1,1,fagr,306,54,119.3000031,24.6,,alive,,South,Ryan Helcoski,Ryan Helcoski,3969,3969,,,222,,2,,1.52,4,3,,
30333,1,2018.05,5/29/2018,1,1,fagr,306,54,119.3000031,25.98,,alive,,South,Ryan Helcoski,Ryan Helcoski,3969,3969,,,222,,2,,1.52,4,3,,
30333,1,2018.06,6/14/2018,1,1,fagr,306,54,119.3000031,29.36,,alive,,South,Ryan Helcoski,Ryan Helcoski,3969,3969,,,222,,2,,1.52,4,3,,
30333,1,2018.07,6/29/2018,1,1,fagr,306,54,119.3000031,30.8,,alive,,South,Alyssa Terrell,Ryan Helcoski,3969,3969,,,222,,2,,1.52,4,3,,
30333,1,2018.08,7/12/2018,1,1,fagr,306,54,119.3000031,31.19,,alive,,South,Alyssa Terrell,Ryan Helcoski,3969,3969,,,222,,2,,1.52,4,3,,
30333,1,2018.09,7/26/2018,1,1,fagr,306,54,119.3000031,33.02,,alive,,South,Ryan Helcoski,Ryan Helcoski,3969,3969,,,222,,2,,1.52,4,3,,
30333,1,2018.1,8/9/2018,1,1,fagr,306,54,119.3000031,35.28,,alive,,South,Ryan Helcoski,Ryan Helcoski,3969,3969,,,222,,2,,1.52,4,3,,
30333,1,2018.11,8/23/2018,1,1,fagr,306,54,119.3000031,36.11,,alive,,South,Ryan Helcoski,Ian McGregor,3969,3969,,,222,,2,,1.52,4,3,,
30333,1,2018.12,9/28/2018,1,1,fagr,306,54,119.3000031,37.91,,alive,,South,"Alyssa Terrall, Ian McGregor",Ian McGregor,3969,3969,,,222,,2,,1.52,4,3,,
30333,1,2018.13,10/18/2018,1,1,fagr,306,54,119.3000031,36.96,,alive,,South,"Alyssa Terrall, Ian McGregor",Ian McGregor,3969,3969,,,222,,2,,1.52,4,3,,
30339,1,2018.01,3/9/2018,1,1,litu,307,48.59999847,124.0999985,59.5,M; main,alive,,South,Michael Scott,Ryan Helcoski,3975,3975,,,588,,2,,1.3,4,5,,
30339,1,2018.02,4/6/2018,1,1,litu,307,48.59999847,124.0999985,59.49,M; main,alive,,South,Ryan Helcoski,Ryan Helcoski,3975,3975,,,588,,2,,1.3,4,5,,
30339,1,2018.03,4/26/2018,1,1,litu,307,48.59999847,124.0999985,60.29,M; main,alive,,South,Ryan Helcoski,Ryan Helcoski,3975,3975,,,588,,2,,1.3,4,5,,
30339,1,2018.04,5/15/2018,1,1,litu,307,48.59999847,124.0999985,59.98,M; main,alive,,South,Ryan Helcoski,Ryan Helcoski,3975,3975,,,588,,2,,1.3,4,5,,
30339,1,2018.05,5/29/2018,1,1,litu,307,48.59999847,124.0999985,60.6,M; main,alive,,South,Ryan Helcoski,Ryan Helcoski,3975,3975,,,588,,2,,1.3,4,5,,
30339,1,2018.06,6/14/2018,1,1,litu,307,48.59999847,124.0999985,62.24,M; main,alive,,South,Ryan Helcoski,Ryan Helcoski,3975,3975,,,588,,2,,1.3,4,5,,
30339,1,2018.07,6/29/2018,1,1,litu,307,48.59999847,124.0999985,64.82,M; main,alive,,South,Alyssa Terrell,Ryan Helcoski,3975,3975,,,588,,2,,1.3,4,5,,
30339,1,2018.08,7/12/2018,1,1,litu,307,48.59999847,124.0999985,65.68,M; main,alive,,South,Alyssa Terrell,Ryan Helcoski,3975,3975,,,588,,2,,1.3,4,5,,
30339,1,2018.09,7/26/2018,1,1,litu,307,48.59999847,124.0999985,67.52,M; main,alive,,South,Ryan Helcoski,Ryan Helcoski,3975,3975,,,588,,2,,1.3,4,5,,
30339,1,2018.1,8/9/2018,1,1,litu,307,48.59999847,124.0999985,68.93,M; main,alive,,South,Ryan Helcoski,Ryan Helcoski,3975,3975,,,588,,2,,1.3,4,5,,
30339,1,2018.11,8/23/2018,1,1,litu,307,48.59999847,124.0999985,70.2,M; main,alive,,South,Ryan Helcoski,Ian McGregor,3975,3975,,,588,,2,,1.3,4,5,,
30339,1,2018.12,9/28/2018,1,1,litu,307,48.59999847,124.0999985,71.56,M; main,alive,,South,"Alyssa Terrall, Ian McGregor",Ian McGregor,3975,3975,,,588,,2,,1.3,4,5,,
30339,1,2018.13,10/18/2018,1,1,litu,307,48.59999847,124.0999985,70.83,M; main,alive,,South,"Alyssa Terrall, Ian McGregor",Ian McGregor,3975,3975,,,588,,2,,1.3,4,5,,
30339,2,2018.01,3/9/2018,1,1,litu,307,48.59999847,124.0999985,9.96,S,alive,,South,Michael Scott,Ryan Helcoski,32681,3975,,,504,,2,,1.3,4,5,,
30339,2,2018.02,4/6/2018,1,1,litu,307,48.59999847,124.0999985,9.69,S,alive,,South,Ryan Helcoski,Ryan Helcoski,32681,3975,,,504,,2,,1.3,4,5,,
30339,2,2018.03,4/26/2018,1,1,litu,307,48.59999847,124.0999985,10.18,S,alive,,South,Ryan Helcoski,Ryan Helcoski,32681,3975,,,504,,2,,1.3,4,5,,
30339,2,2018.04,5/15/2018,1,1,litu,307,48.59999847,124.0999985,10.2,S,alive,,South,Ryan Helcoski,Ryan Helcoski,32681,3975,,,504,,2,,1.3,4,5,,
30339,2,2018.05,5/29/2018,1,1,litu,307,48.59999847,124.0999985,13.93,S,alive,,South,Ryan Helcoski,Ryan Helcoski,32681,3975,,,504,,2,,1.3,4,5,,
30339,2,2018.06,6/14/2018,1,1,litu,307,48.59999847,124.0999985,17.34,S,alive,,South,Ryan Helcoski,Ryan Helcoski,32681,3975,,,504,,2,,1.3,4,5,,
30339,2,2018.07,6/29/2018,1,1,litu,307,48.59999847,124.0999985,22.05,S,alive,,South,Alyssa Terrell,Ryan Helcoski,32681,3975,,,504,,2,,1.3,4,5,,
30339,2,2018.08,7/12/2018,1,1,litu,307,48.59999847,124.0999985,24.35,S,alive,,South,Alyssa Terrell,Ryan Helcoski,32681,3975,,,504,,2,,1.3,4,5,,
30339,2,2018.09,7/26/2018,1,1,litu,307,48.59999847,124.0999985,28.21,S,alive,,South,Ryan Helcoski,Ryan Helcoski,32681,3975,,,504,,2,,1.3,4,5,,
30339,2,2018.1,8/9/2018,1,1,litu,307,48.59999847,124.0999985,31.2,S,alive,,South,Ryan Helcoski,Ryan Helcoski,32681,3975,,,504,,2,,1.3,4,5,,
30339,2,2018.11,8/23/2018,1,1,litu,307,48.59999847,124.0999985,32.6,S,alive,,South,Ryan Helcoski,Ian McGregor,32681,3975,,,504,,2,,1.3,4,5,,
30339,2,2018.12,9/28/2018,1,1,litu,307,48.59999847,124.0999985,33.73,S,alive,,South,"Alyssa Terrall, Ian McGregor",Ian McGregor,32681,3975,,,504,,2,,1.3,4,5,,
30339,2,2018.13,10/18/2018,1,1,litu,307,48.59999847,124.0999985,32.63,S,alive,,South,"Alyssa Terrall, Ian McGregor",Ian McGregor,32681,3975,,,504,,2,,1.3,4,5,,
30339,3,2018.01,3/9/2018,1,1,litu,307,48.59999847,124.0999985,33.94,S,alive,,South,Michael Scott,Ryan Helcoski,37149,3975,,,153.1,,2,,1.3,4,3,,
30339,3,2018.02,4/6/2018,1,1,litu,307,48.59999847,124.0999985,33.93,S,alive,,South,Ryan Helcoski,Ryan Helcoski,37149,3975,,,153.1,,2,,1.3,4,3,,
30339,3,2018.03,4/26/2018,1,1,litu,307,48.59999847,124.0999985,34.11,S,alive,,South,Ryan Helcoski,Ryan Helcoski,37149,3975,,,153.1,,2,,1.3,4,3,,
30339,3,2018.04,5/15/2018,1,1,litu,307,48.59999847,124.0999985,34.19,S,alive,,South,Ryan Helcoski,Ryan Helcoski,37149,3975,,,153.1,,2,,1.3,4,3,,
30339,3,2018.05,5/29/2018,1,1,litu,307,48.59999847,124.0999985,34.54,S,alive,,South,Ryan Helcoski,Ryan Helcoski,37149,3975,,,153.1,,2,,1.3,4,3,,
30339,3,2018.06,6/14/2018,1,1,litu,307,48.59999847,124.0999985,35.63,S,alive,,South,Ryan Helcoski,Ryan Helcoski,37149,3975,,,153.1,,2,,1.3,4,3,,
30339,3,2018.07,6/29/2018,1,1,litu,307,48.59999847,124.0999985,37.06,S,alive,,South,Alyssa Terrell,Ryan Helcoski,37149,3975,,,153.1,,2,,1.3,4,3,,
30339,3,2018.08,7/12/2018,1,1,litu,307,48.59999847,124.0999985,36.57,S,alive,,South,Alyssa Terrell,Ryan Helcoski,37149,3975,,,153.1,,2,,1.3,4,3,,
30339,3,2018.09,7/26/2018,1,1,litu,307,48.59999847,124.0999985,38.13,S,alive,,South,Ryan Helcoski,Ryan Helcoski,37149,3975,,,153.1,,2,,1.3,4,3,,
30339,3,2018.1,8/9/2018,1,1,litu,307,48.59999847,124.0999985,37.35,S,alive,,South,Ryan Helcoski,Ryan Helcoski,37149,3975,,,153.1,,2,,1.3,4,3,,
30339,3,2018.11,8/23/2018,1,1,litu,307,48.59999847,124.0999985,37.75,S,alive,,South,Ryan Helcoski,Ian McGregor,37149,3975,,,153.1,,2,,1.3,4,3,,
30339,3,2018.12,9/28/2018,1,1,litu,307,48.59999847,124.0999985,38.15,S,alive,,South,"Alyssa Terrall, Ian McGregor",Ian McGregor,37149,3975,,,153.1,,2,,1.3,4,3,,
