tag,StemTag,sp,dbh,quadrat,lx,ly,area,location,previous_measure,measure,measure_verified,new.band,codes,notes,field.recorders,data.enter,survey.ID,year,month,day,diff
110791,1,litu,666,1104,11.3,10,2,South,35.86,38.49,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,2.6300000000000026
110901,1,litu,562,1105,20,4.1,2,South,20.79,23.54,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,2.75
111030,1,litu,623,1107,15.1,19.9,2,South,18.53,19.85,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,1.3200000000000003
112250,1,pist,470,1122,10.8,18.4,5,North,44.76,48.2,48.24,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,3.440000000000005
112482,1,litu,271,1131,17.8,15.9,8,North,25.37,26.54,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,1.1699999999999982
120781,1,litu,637,1205,3,2.2,2,South,30.61,33.18,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,2.5700000000000003
121195,1,quru,974,1211,12.4,0.4,2,South,49.81,55.37,56.25,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,5.559999999999995
121221,1,litu,120,1207,1.7,19.3,2,South,11.97,12.59,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,0.6199999999999992
121275,1,qupr,260,1209,1.7,16.9,2,South,37.85,38.42,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,0.5700000000000003
121301,1,caovl,257,1211,1.2,2.5,2,South,30.47,32.14,32.24,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,1.6700000000000017
121305,1,quru,793,1211,1.1,11.2,2,South,51.42,52.06,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,0.6400000000000006
121374,1,juni,378,1216,0.7,18.5,5,North,25.74,27.14,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,1.4000000000000021
122009,1,acru,303,1217,1.2,4.1,5,North,50.77,51.5,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,0.7299999999999969
122184,1,pist,246,1222,2.9,13.9,5,North,31.12,30.82,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,-0.3000000000000007
122189,1,qual,708,1222,5.5,19.5,5,North,27.04,28.15,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,1.1099999999999994
122303,1,qual,664,1223,1.9,8.5,5,North,28.54,30.01,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,1.4700000000000024
122343,1,qual,660,1225,10.7,14.4,8,North,69.07,71.11,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,2.0400000000000063
122427,1,qual,875,1227,17,15.6,8,North,112.2,116.32,116.31,,,Bark has disintegrated under spring of band,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,4.11999999999999
122482,1,litu,596,1228,14.5,2.4,8,North,24.66,26.75,26.77,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,2.09
130838,1,litu,693,1305,12.2,1,2,South,103.29,107.95,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,4.659999999999997
131087,1,quru,712,1310,17.3,17.8,2,South,140.26,142.11,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,1.8500000000000227
131239,1,quru,651,1314,19.5,5.7,3,South,27.86,32.24,32.27,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,4.380000000000003
131364,1,acru,487,1316,12,12.9,5,North,116.72,120.78,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,4.060000000000002
132539,1,litu,640,1331,15,15.9,8,North,90.76,90.91,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,0.14999999999999147
140825,1,litu,542,1411,8,5.9,2,South,88.53,92.11,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,3.5799999999999983
142380,1,qual,611,1425,6.8,13.1,8,North,100.37,102.42,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,2.049999999999997
142521,1,pist,508,1422,6.4,11.1,5,North,45.85,48.18,48.27,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,2.3299999999999983
160910,1,litu,1039,1607,8.6,1.1,1,South,73.98,78.9,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,4.920000000000002
162024,1,quve,297,1618,9.7,9.7,6,North,21.49,22.54,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,1.0500000000000007
162439,1,quru,874,1627,16.3,0.3,9,North,115.75,116.08,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,0.3299999999999983
162446,1,quru,822,1630,14.1,2.9,9,North,97.57,99.72,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,2.1500000000000057
162543,1,qual,904,1627,7.5,16.6,9,North,100.22,100.45,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,0.23000000000000398
171348,1,ceca,164,1714,19.4,2.4,1,South,12.73,12.6,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,-0.13000000000000078
171454,1,caco,124,1714,1.6,13.8,1,South,36.94,37.77,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,0.8300000000000054
172202,1,quru,589,1717,17.1,1.8,6,North,11.69,13.06,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,1.370000000000001
172203,1,qual,378,1717,15.5,0.3,6,North,39.57,40.35,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,0.7800000000000011
172248,1,cato,280,1719,19.2,19.3,6,North,41.01,42.3,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,1.2899999999999991
172417,1,nysy,98,1725,20,18.4,9,North,20.88,19.77,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,-1.1099999999999994
172499,1,qual,1077,1730,17,3.1,9,North,116.36,118.53,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,2.1700000000000017
180931,1,quve,822,1809,8.2,19.4,1,South,39.48,42.91,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,3.4299999999999997
181030,1,qual,795,1816,5.4,10.6,6,North,19.44,20.16,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,0.7199999999999989
182471,1,ceca,91,1829,2.6,19,9,North,48.89,51.82,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,2.9299999999999997
190067,1,litu,760,1902,19,2.2,1,South,100.73,103.11,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,2.3799999999999955
190413,1,litu,1046,1904,14.7,5.6,1,South,42.49,44.58,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,2.0899999999999963
190568,1,juni,955,1912,2.6,18.8,1,South,103.92,109.21,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,5.289999999999992
190694,1,quru,1353,1909,18.2,14.7,1,South,72.41,79.44,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,7.030000000000001
192133,1,caovl,579,1923,11.7,2.3,6,North,64.05,66.92,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,2.8700000000000045
192244,1,qual,478,1919,18.1,16.8,6,North,94.15,95.27,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,1.1199999999999903
192437,1,litu,463,1925,17,11.5,9,North,52.3,54.98,55.04,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,2.6799999999999997
192466,1,quru,869,1926,13.3,1.7,9,North,70.34,72.97,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,2.6299999999999955
192484,1,quru,457,1926,17.4,11.2,9,North,126.23,128.4,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,2.1700000000000017
192542,1,litu,335,1929,18.9,3.8,9,North,63.41,67.76,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,4.3500000000000085
192560,1,qual,970,1930,12.9,19.5,9,North,81.47,81.47,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,0
192619,1,quru,845,1926,12.6,8.5,9,North,53.92,57.91,57.83,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,3.989999999999995
200142,1,litu,635,2002,1.3,3.5,1,South,63.07,66.45,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,3.3800000000000026
200551,1,litu,602,2005,1,5.3,1,South,28.59,29.11,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,0.5199999999999996
202072,1,qual,741,2020,2.1,10.8,6,North,79.94,81.87,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,1.9300000000000068
202201,1,cato,151,2017,3.2,1.1,6,North,59.69,60.36,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,0.6700000000000017
202215,1,qual,570,2017,5.5,11.7,6,North,19.21,21.99,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,2.7799999999999976
202283,1,litu,334,2020,4.5,2.9,6,North,59.28,63.17,63.21,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,3.8900000000000006
22070,1,cato,75.8,218,2.3,11.4,4,North,1.97,7.27,7.22,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,5.3
22186,1,tiam,380,222,17,7.5,4,North,27.16,29.99,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,2.8299999999999983
22315,1,caco,575,225,11,4,4,North,39.54,42.42,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,2.8800000000000026
22601,1,juni,140,231,17.8,10,4,North,12.43,12.49,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,0.0600000000000005
30234,1,fagr,84,306,15.3,18.5,3,South,26.67,27.89,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,1.2199999999999989
30331,1,cagl,239,306,8.3,19.5,3,South,47.35,49.92,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,2.5700000000000003
30333,1,fagr,266,306,14,19.3,3,South,135.6,138.59,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,2.990000000000009
30339,1,litu,620,307,8.6,4.1,3,South,26,28.24,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,2.2399999999999984
30339,2,litu,557,307,8.6,4.1,3,South,28.05,32.15,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,4.099999999999998
30339,3,litu,162,307,8.6,4.1,3,South,59.46,60.71,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,1.25
30467,1,litu,638,314,17.3,3,3,South,24.19,21.63,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,-2.5600000000000023
30512,1,quru,900,313,2.9,14.3,3,South,24.19,28.06,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,3.8699999999999974
30584,1,quve,955,316,2.2,14.4,4,North,61.7,65.97,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,4.269999999999996
32126,1,litu,1058,321,9.6,5,4,North,43.05,45.99,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,2.940000000000005
32251,1,tiam,175,323,10.3,10.3,4,North,21.34,26.64,26.58,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,5.300000000000001
32381,1,qupr,889,327,4.6,12.8,4,North,43.08,46.42,46.53,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,3.3400000000000034
40562,1,fagr,88,406,6.3,16.2,3,South,8.84,9.11,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,0.2699999999999996
40563,1,fagr,440,406,3.6,17.8,3,South,39.45,43.53,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,4.079999999999998
40564,1,fagr,72,406,2.4,12.4,3,South,12.19,12.94,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,0.75
40567,1,fagr,112,406,1.6,7.2,3,South,12.6,12.84,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,0.2400000000000002
40568,1,fagr,229,406,0.1,5.2,3,South,103.2,107.78,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,4.579999999999998
40635,1,cato,274,408,18.7,1,3,South,82.92,84.44,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,1.519999999999996
40942,1,acru,428,414,2.2,2,3,South,20.82,22.8,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,1.9800000000000004
50364,1,qual,700,507,4.2,18.1,2,South,49.11,50.04,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,0.9299999999999997
50562,1,quru,715,514,6.9,12.5,3,South,103.5,106.87,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,3.3700000000000045
50650,1,litu,194,514,19.5,14.9,3,South,24.17,23.6,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,-0.5700000000000003
52190,1,quru,1045,522,16.4,3.4,4,North,121.7,124.26,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,2.5600000000000023
60266,1,cato,511,604,5.5,9.2,2,South,34.81,35.54,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,0.7299999999999969
60458,1,fagr,313,615,1.9,0,3,South,12.4,15.01,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,2.6099999999999994
60459,1,fagr,126,615,2,3,3,South,37.75,38.94,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,1.1899999999999977
60462,1,fagr,256,615,5.6,7.6,3,South,46.83,51.32,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,4.490000000000002
60463,1,juni,510,615,7.2,8,3,South,118.18,118.99,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,0.8099999999999881
60469,1,cofl,74,615,6.8,9.8,3,South,11.41,11.45,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,0.03999999999999915
60566,1,fagr,235,614,10,11,3,South,46.58,50.28,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,3.700000000000003
60573,1,tiam,284,614,8.5,16.3,3,South,91.81,95.59,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,3.780000000000001
60582,1,quru,304,615,20,10.2,3,South,30.03,31.21,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,1.1799999999999997
60586,1,caca,78,615,16.2,9.3,3,South,21.23,21.88,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,0.6499999999999986
60588,1,caco,311,615,13.4,7.3,3,South,79.1,81.57,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,2.469999999999999
62114,1,quve,324,619,18.7,12.6,4,North,104.52,108.63,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,4.109999999999999
62181,1,quve,1150,621,8.8,13.5,4,North,33.47,36.91,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,3.4399999999999977
62224,1,litu,1080,622,3.2,17.3,4,North,68.19,71.89,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,3.700000000000003
70096,1,quru,946,704,3.3,12.7,2,South,49.26,50.98,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,1.7199999999999989
70126,1,quru,880,705,9.3,12.5,2,South,64.48,67.87,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,3.3900000000000006
70220,1,qual,578,702,18.3,0.8,3,South,21.03,25.47,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,4.439999999999998
70278,1,qupr,715,704,15.6,15.4,2,South,119.23,122.33,122.24,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,3.0999999999999943
70492,1,nysy,227,714,0.1,11.2,3,South,77.86,81.37,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,3.510000000000005
70495,1,caca,92,714,1.7,18.6,3,South,32.61,34.72,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,2.1099999999999994
70519,1,qual,562,711,15.5,3.3,2,South,105.98,106.65,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,0.6700000000000017
70536,1,qual,625,711,11.9,7.4,2,South,71.44,72.47,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,1.0300000000000011
70579,1,caovl,245,714,19.2,4.3,2,South,59.35,58.92,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,-0.4299999999999997
72024,1,quve,516,717,20,9.6,4,North,75.99,76.97,76.55,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,0.980000000000004
72116,1,litu,517,719,14.4,10.8,4,North,87.33,90.89,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,3.5600000000000023
72124,1,quru,828,719,12.5,19.4,4,North,133.7,133.86,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,0.160000000000025
72210,1,qual,881,721,5.2,11.5,4,North,71.59,73.8,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,2.2099999999999937
72308,1,qual,670,725,15.2,13.3,7,North,88.53,89.46,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,0.9299999999999926
72324,1,litu,720,726,14.4,6.6,7,North,118.17,123.91,123.88,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,5.739999999999995
72337,1,quru,955,727,7.9,2.6,7,North,103.61,104.85,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,1.2399999999999949
72348,1,quru,987,727,12,15.1,7,North,101.84,104.07,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,2.2299999999999898
72357,1,quru,957,728,1.7,2,7,North,89.76,94.26,94.27,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,4.5
80401,1,caco,480,807,7.4,19.6,2,South,66.87,71.22,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,4.349999999999994
80554,1,caovl,551,813,6.9,11.2,2,South,98.74,103.53,103.31,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,4.790000000000006
80559,1,nysy,439,813,8.9,17.8,2,South,7.58,6.9,6.88,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,-0.6799999999999997
82203,1,litu,668,822,8,9.4,4,North,103.04,107.99,107.93,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,4.949999999999989
82219,1,ceca,96,822,14.7,18.8,4,North,23.25,23.52,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,0.2699999999999996
82360,1,litu,640,829,2.3,0.7,7,North,91.2,93.5,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,2.299999999999997
82365,1,qual,450,829,4.9,4.7,7,North,78.76,79.58,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,0.8199999999999932
82422,1,litu,563,831,6.9,19.5,7,North,111.51,112.38,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,0.8699999999999903
90752,1,qual,558,916,12.4,7.4,5,North,12.87,11.81,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,-1.0599999999999987
91477,1,litu,225,908,19.3,3.5,2,South,68.64,69.42,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,0.7800000000000011
91486,1,cagl,600,908,17.5,9.2,2,South,98.77,101.07,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,2.299999999999997
92237,1,nysy,220,922,14.7,19.5,5,North,19.42,19.44,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,0.019999999999999574
92393,1,cagl,652,925,19.8,7.7,7,North,38.91,42.01,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,3.1000000000000014
10671,1,quru,930,114,6.2,14.5,3,South,65.16,65.16,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,0
112136,1,pist,315,1120,13.9,2.5,5,North,108.96,110.65,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,1.690000000000012
122136,1,quru,666,1220,5.5,7.6,5,North,60.15,62.29,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,2.1400000000000006
132077,1,qual,649,1319,9.9,15.9,5,North,53.25,57.5,57.57,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,4.25
142729,1,litu,487,1431,4.7,14.7,8,North,83.98,83.84,83.81,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,-0.14000000000000057
40566,1,cagl,301,406,1.1,9.4,3,South,67.51,67.51,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,0
70494,2,caca,74,714,0.4,15.7,3,South,9.67,8.97,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,-0.6999999999999993
122006,1,acru,452,1217,9.9,8.3,5,North,48.31,,0,,RE,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,9,
142708,1,juni,428,1429,4.3,6.2,8,North,10.45,,0,,,replace tree,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,9,
30233,1,fagr,1109,306,15.6,16.2,3,South,134.12,,0,,RE,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,8,
110061,1,litu,1213,1101,17,10,2,South,0,,0,,,BT; band removed,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,
90660,1,quru,1034,913,4.9,7.9,2,South,0,,0,,RE,outgrown,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,
