tag,stemtag,species,dbh.2008,dbh.2013,quadrat,lx,ly,codes,dendrometer.height,Nail.height,dendro.diameter.2011,5/9/2011,5/13/2011,5/16/2011,5/24/2011,6/6/2011,6/13/2011,6/20/2011,6/27/2011,7/5/2011,7/11/2011,7/18/2011,7/25/2011,8/1/2011,8/8/2011,8/22/2011,9/6/2011,9/19/2011,10/5/2011,10/16/2011,11/1/2011,11/17/2011,Notes 2011,,4/11/2012,4/25/2012,5/8/2012,5/22/2012,6/5/2012,6/19/2012,7/2/2012,7/16/2012,7/30/2012,8/14/2012,8/28/2012,9/10/2012,9/24/2012,10/9/2012,10/23/2012,11/26/2012,Notes 2012,,DBH_mm (March 2013),4/8/2013,4/23/2013,5/6/2013,5/20/2013,6/3/2013,6/17/2013,7/1/2013,7/15/2013,7/29/2013,8/12/2013,8/26/2013,9/9/2013,9/23/2013,10/9/2013,Notes 2013,,3/24/2014,4/14/2014,5/1/2014,5/13/2014,5/27/2014,6/10/2014,6/23/2014,7/7/2014,7/21/2014,8/4/2014,8/18/2014,9/2/2014,9/15/2014,10/27/2014,Notes 2014,,3/22/2015,4/23/2015,5/7/2015,5/19/2015,6/3/2015,6/16/2015,7/1/2015,7/14/2015,7/28/2015,8/11/2015,8/25/2015,9/16/2015,Notes in 2015,,4/6/2016,5/12/2016,5/26/2016,6/9/2016,6/23/2016,7/7/2016,7/21/2016,8/4/2016,8/18/2016,9/1/2016,9/13/2016,9/29/2016,10/13/2016,10/27/2016,Notes in 2016,,4/18/2017,5/18/2017,6/2/2017,6/21/2017,6/30/2017,7/13/2017,7/31/2017,8/10/2017,8/17/2017,9/11/2017,9/21/2017,11/16/2017,Notes in 2017,,3/9/2018,4/6/2018,4/26/2018,5/15/2018,5/29/2018,6/14/2018,6/29/2018,7/12/2018,7/26/2018,8/9/2018,8/23/2018,notes 2018,location 2
30343,1,quru,600,600,307,17.9,8,,1.38,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,15.04,14.45,14.75,15.69,19.84,20.04,19.9,19.85,19.87,19.56,From sap flow cluster. DBH 2013,,19.04,19.04,20.87,20.82,21.68,22.32,22.77,23.22,23.14,23.22,23.39,23.99,23.87,23.88,From sap flow cluster,,23.53,23.68,24.42,24.61,24.72,24.63,26.9,26.46,26.39,26.2,26,25.96,,,24.84,24.89,24.93,24.61,24.46,24.78,NA,NA,NA,NA,NA,NA,NA,NA,Dead 7/7/2016,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,,,,South
30467,1,litu,598.3,608,314,17.3,3.0,,1.44,1.4,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,30.59,30.25,30.7,31.95,33.33,35.45,37.56,38.87,39.66,40.26,40.39,40.66,41.08,41.09,40.87,Replacing 60414,,613.3,39.26,39.51,39.3,39.98,40.81,42.92,44.55,47.54,48.92,49.97,50.49,50.48,50.53,50.62,Replacing 60414,,50.45,50.21,51.45,50.7,51.23,52.77,54.65,56.9,58.82,60.25,61.8,68.8,68.34,68.5,,,66.29,65.33,83.23,82.76,82.96,81.51,82.53,83.07,83.18,83.21,82.98,82.88,band slightly adjusted 6/17/15,,76.21,78.58,78.22,77.42,77.91,78.6,79.09,79.79,79.82,79.88,79.46,80.23,80.57,80.14,,,80.74,81.1,81.29,82.38,82.46,85.69,87.14,87.14,87.32,87.47,87.43,87.82,,,87.5,86.73,87.08,86.89,87.18,89.43,91.41,92.12,93.8,94.26,93.87,,South
30512,1,quru,826.2,845.5,313,2.9,14.3,,1.41,1.4,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,31.46,39.82,44.23,44.39,44.88,45.28,45.88,46.54,46.7,46.81,47.13,47.36,47.79,47.78,47.75,Replacing 42270,,846.4,48.39,49.52,50.64,52.08,53.97,55.65,56.77,58.97,60.06,60.69,61.1,61.41,61.35,61.2,Replacing 42270,,61.33,61.76,65.55,66.13,68.48,70.66,73.06,74.3,76.1,76.78,77.81,77.9,77.67,78.22,,,77.54,79.61,81.55,83.09,85.65,87.02,89.76,91.87,93.95,95.02,95.57,96.19,,,98.61,104.03,104.51,105.96,108.73,110.82,112.18,114.26,115.43,115.74,114.15,116.96,117.23,117.05,,,119.92,124.94,127.26,130.65,131.67,132.73,136.98,137.48,139.65,139.25,139.25,140.17,,,140.8,141.2,142.62,145.87,147.42,150.64,151.91,152.95,3.92,3.92,5.01,replaced 7/26,South
32126,1,litu,956.6,995.5,321,9.6,5,,1.43,1.52,937.6,28.06,28.5,29.09,29.5,30.64,31.07,31.74,33.55,33.3,34.33,35.23,35.95,37.05,37.94,38.97,39.55,39.95,40.26,40.35,40.4,40.23,,,41.69,42.72,42.76,42.8,43.31,45.74,49.67,54.64,55.68,62.96,64.94,65.89,67.14,67.43,67.17,68.15,,,961,67.33,66.86,67.1,67.78,68.55,71.78,75.32,80.37,81.07,87.61,91.46,92.03,93.05,92.79,,,97.76,94.2,95.82,96.09,96.3,97.64,100.85,103.95,106.94,109.46,113.51,113.4,115.75,116.26,,,116.21,116.5,116.6,116.55,118.08,124.05,124.58,127.44,130.36,132.78,133.62,134.05,band slightly adjusted 6/16/15,,135.89,139.42,141.33,141.81,144.34,147.62,150.37,155.14,158.69,160.8,160.95,165.85,166.79,166.15,window too large for caliper 8/4,,165.4,24.65,26.81,30.27,31.22,33.41,37.2,38.4,39.3,41,40.97,42.08,,,42.47,41.74,41.44,41.23,43.27,46.94,50.17,51.75,52.31,59.93,62.82,,North
40562,1,fagr,79.1,80.90000153,406,6.3,16.2,,1.41,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,6.45,6.84,7.33,6.83,6.91,7.01,6.99,7.05,6.95,7.09,From sap flow cluster. DBH 2013,,7.38,7.62,7.65,7.77,8.2,8.4,9.12,9.1,9.22,9.3,9.95,9.41,9.49,9.46,From sap flow cluster,,9.75,9.85,9.67,9.63,10.53,10.67,10.95,11.17,11.7,11.46,11.69,11.67,,,11.71,11.98,11.76,12.14,12.54,13.31,12.98,12.85,13.02,12.87,13.33,13.02,12.99,13.1,,,13.5,13.44,13.58,14.59,14.17,14.7,14.75,14.89,15.15,15.11,15.4,15.13,,,15.33,15.48,15.39,15.4,15.92,16.54,17.01,16.55,17.21,17.47,17.37,,South
40563,1,fagr,365,365,406,3.6,17.8,,1.44,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,7.37,9.13,11.62,14.82,17.23,19.41,20.86,22.51,22.96,22.74,From sap flow cluster. DBH 2013,,23.31,23.47,23.37,23.3,25.19,28.24,30.3,33.92,35.71,37.68,39.79,41.1,41.86,42.04,From sap flow cluster,,42.1,42.34,42.21,44.14,47.18,48.46,50.98,53.04,54.97,56.08,56.32,56.69,,,57.17,57.56,58.37,61.66,64.04,67.11,69.29,71.55,74.13,75.53,75.88,76.42,76.32,76.56,,,76.39,78.31,80.91,84.93,86.13,87.71,90.35,91.29,91.98,93,93.06,92.54,,,93.77,93.47,93.37,94.93,97.93,101.6,105.21,107.19,11.01,11.58,13.58,replaced 7/26,South
40564,1,fagr,57.8,57.79999924,406,2.4,12.4,,1.43,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,2.76,2.88,3.33,3.86,4.4,4.78,5.08,5.77,5.21,5.07,From sap flow cluster. DBH 2013,,5.59,5.68,5.42,5.67,6.01,6.9,8.43,10.13,10.87,11.36,12.22,12.03,12.01,12.51,From sap flow cluster,,12.75,12.77,12.81,13.13,15.21,16.25,17.25,18.28,19.45,19.78,19.9,19.94,,,20.35,20.92,20.97,22.37,23.71,24.68,24.39,24.41,24.34,24.47,24.66,24.31,24.3,24.24,10/27 band needs to be replaced,,10.05,9.82,10.16,11.05,11.31,11.3,12.03,12.11,12.41,12.16,12.2,12.42,,,12.85,12.53,12.54,12.68,13.59,14.54,14.59,16.52,17.03,16.57,17.38,,South
40565,1,cagl,182.1,182.1000061,406,1.9,10.1,,1.36,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,11.9,11.96,12.38,12.05,11.96,12.05,11.58,11.68,11.74,11.42,From sap flow cluster. DBH 2013,,11.25,11.14,11.17,11.1,11.33,12.07,12.08,11.88,11.75,11.77,11.8,12.17,11.83,12.12,From sap flow cluster,,11.33,11.46,11.66,11.4,12.37,12.22,12.41,12.53,12.54,12.41,12.41,12.27,,,12.16,13.17,13.03,13.15,13.64,13.78,13.6,13.71,13.71,13.61,13.63,13.59,13.61,13.42,,,13.06,13.86,14.29,14.14,13.95,14.17,14.18,14.17,14.31,14.78,14.14,14.39,,,14.27,14.8,15.03,15.79,16.36,16.36,16.81,17.03,17.31,17.58,17.69,,South
40566,1,cagl,270.2,270.2000122,406,1.1,9.4,,1.41,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,1.45,1.53,2.01,2.97,2.67,2.43,2.61,2,1.79,2.05,From sap flow cluster. DBH 2013,,0.95,1.06,2.61,2.3,4.94,8.45,10.41,11.04,11.25,11.15,12.22,12.07,11.92,11.39,From sap flow cluster,,9.79,11.11,12.85,14.7,17.3,18.22,19.93,20.37,20.06,20.12,19.41,20.46,,,18.49,22.09,22.34,23.12,26.07,27.39,27.08,28.31,28.37,28.06,26.02,28.17,28.61,27.38,,,26.53,30.62,32.99,35.9,35.47,NA,36,36.32,37.69,37.63,37.34,36.75,,,34.7,36.13,37.2,39.71,42.19,2.95,4.27,4.52,5.03,6.50,6.68,replaced 6/12,South
40567,1,fagr,93.3,93.30000305,406,1.6,7.2,,1.43,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,3.76,3.99,4.88,5.56,6.14,6.6,6.66,6.95,6.91,6.94,From sap flow cluster. DBH 2013,,7.26,7.27,7.34,7.3,7.9,9.54,10.62,11.72,12.07,12.38,12.77,12.72,12.76,12.88,From sap flow cluster,,13.07,13.8,12.93,13.15,14.61,15.14,16.53,16.95,17.5,17.83,17.76,17.85,,,18.64,18.68,18.56,19.85,21.43,22.84,23.3,23.71,25.1,25.39,25.75,25.61,25.79,25.67,,,26.11,26.27,27.09,28.64,28.6,29.98,29.44,29.92,29.66,29.91,30.23,31.55,needs replacing 9/21,,3,2.84,2.93,2.87,3.31,4.12,4.93,5.46,5.51,6.00,6.08,,South
40568,1,fagr,169.9,169.8999939,406,0.1,5.2,,1.39,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,10.45,10.91,13.21,15.5,18.05,19.96,21.7,22.5,22.81,23.2,From sap flow cluster. DBH 2013,,23.62,23.61,23.88,23.82,26.25,28.61,30.53,33.45,35.1,36.3,37.95,39.35,39.91,40.27,From sap flow cluster,,40.62,40.83,40.58,41.45,44.88,46.43,48.87,51.47,53.21,52.95,53.17,52.94,,,12.48,12.62,12.66,14.02,15.66,17.09,18.03,NA,NA,NA,NA,NA,NA,NA,8/4 band broken - needs new band,,87.26,87.64,90.05,92.91,93.59,94.98,96.59,96.98,97.77,99.23,99.27,99.55,,,99.59,99.61,99.71,100.3,102.22,104.7,104.7,107.97,108.35,110.18,111.66,,South
40569,1,litu,280,280,407,5.6,1.7,,1.41,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,7.71,8.92,11.17,14.17,16.05,17.66,18.25,18.34,18.31,18.38,From sap flow cluster. DBH 2013,,19.19,19.16,19.31,19.07,19.59,23.5,26.44,29.96,32.27,34.46,36.63,36.68,36.91,38.49,From sap flow cluster,,37.73,38.43,37.65,39.1,43.71,45.49,47.52,45.26,47.28,47.52,47.57,47.5,,,14.38,15.23,15.3,18.52,22.62,26.45,28.12,31.13,33.11,33.5,33.57,34.34,34.92,34.87,,,35.75,36.29,37.87,42.05,43.94,46.94,50.21,50.73,52.06,52.03,52.08,52.56,,,53.48,53.21,53.22,53.78,55.25,59.82,61.86,63.86,67.31,69.47,69.93,,South
40875,1,qual,866.2,0,412,14.4,14.4,,1.43,1.49,886.2,32.25,33.4,36.52,35.97,36.25,39.58,39.31,39.35,39.16,38.86,39.72,39.75,39.16,39.82,38.75,39.81,39.87,40.1,40.11,NA,NA,DEAD 11/1/11,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DEAD 2011,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DEAD 11/1/11,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DEAD 11/1/11,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DEAD 11/1/11,,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,,,,South
