tag,stemtag,sp,dbh,quadrat,lx,ly,area,location,spring_measure,measure,measure.verified,codes,new.band,notes,field.recorders,data.enter,survey.ID,year,month,day
200676,1,litu,869.1,2008,12.2,6.9,1,South,32.88,,,,,,,,2024.11,2024,11,
200812,1,juni,548,2008,8,1.2,1,South,48.88,,,,,,,,2024.11,2024,11,
200818,1,litu,348,2008,4.4,3.9,1,South,19.04,,,,,,,,2024.11,2024,11,
200822,1,litu,854,2008,5.6,10.3,1,South,28.04,,,,,,,,2024.11,2024,11,
201171,1,ceca,116,2011,8.7,9.4,1,South,12.2,,,,,,,,2024.11,2024,11,
201180,1,caco,125,2011,10.5,14.6,1,South,23.88,,,,,,,,2024.11,2024,11,
201207,1,litu,1332,2012,10,17.3,1,South,28.3,,,,,,,,2024.11,2024,11,
201261,1,juni,492,2013,0.3,17.3,1,South,48.05,,,,,,,,2024.11,2024,11,
201264,1,litu,419.1,2014,0.3,6.8,1,South,88.11,,,,,,,,2024.11,2024,11,
201274,1,litu,606.8,2014,5.3,8.9,1,South,27.42,,,,,,,,2024.11,2024,11,
201278,1,litu,641.8,2014,2.2,11.8,1,South,38.56,,,,,,,,2024.11,2024,11,
201279,1,quru,475,2014,1.9,13,1,South,32.06,,,,,,,,2024.11,2024,11,
201331,1,qupr,432,2015,14.3,9.5,1,South,38.67,,,,,,,,2024.11,2024,11,
40465,1,qupr,451,404,8.2,12.5,2,South,92.25,,,,,,,,2024.11,2024,11,
50364,1,qual,661.9,507,4.2,18.1,2,South,28.99,,,,,,,,2024.11,2024,11,
60266,1,cato,496,604,5.5,9.2,2,South,24.03,,,,,,,,2024.11,2024,11,
70096,1,quru,893,704,3.3,12.7,2,South,14.43,,,,,,,,2024.11,2024,11,
70126,1,quru,821,705,9.3,12.5,2,South,147.28,,,,,,,,2024.11,2024,11,
70146,1,quve,662,706,8.8,7.2,2,South,26.22,,,,,,,,2024.11,2024,11,
70278,1,qupr,679.8,704,15.6,15.4,2,South,83.95,,,,,,,,2024.11,2024,11,
70292,1,cagl,456.3,705,14.6,2.1,2,South,87.3,,,,,,,,2024.11,2024,11,
70352,1,litu,751.1,707,18.5,11,2,South,125.73,,,,,,,,2024.11,2024,11,
70358,1,litu,363.8,708,18.4,2,2,South,33.47,,,,,,,,2024.11,2024,11,
70433,1,litu,716.9,710,11.4,13.8,2,South,47.82,,,,,,,,2024.11,2024,11,
70519,1,qual,544.8,711,15.5,3.3,2,South,101.61,,,,,,,,2024.11,2024,11,
70536,1,qual,599,711,11.9,7.4,2,South,45.27,,,,,,,,2024.11,2024,11,
70579,1,caovl,236.1,714,19.2,4.3,2,South,47.7,,,,,,,,2024.11,2024,11,
80100,1,litu,582,804,2.4,10.8,2,South,81.9,,,,,,,,2024.11,2024,11,
80180,1,cagl,1015,804,15.9,5.3,2,South,55.31,,,,,,,,2024.11,2024,11,
80401,1,caco,469,807,7.4,19.6,2,South,50.13,,,,,,,,2024.11,2024,11,
80554,1,caovl,529,813,6.9,11.2,2,South,46.73,,,,,,,,2024.11,2024,11,
80559,1,nysy,434.6,813,8.9,17.8,2,South,6.69,,,,,,,,2024.11,2024,11,
80615,1,litu,653.2,810,4.4,16.8,2,South,81.62,,,,,,,,2024.11,2024,11,
80628,1,quve,544.5,811,7.5,3,2,South,58.44,,,,,,,,2024.11,2024,11,
80631,1,litu,521.4,811,0.2,6.1,2,South,45.16,,,,,,,,2024.11,2024,11,
90162,1,litu,655.9,904,16.9,11.1,2,South,125.7,,,,,,,,2024.11,2024,11,
90236,1,ulru,155,902,14.4,2.5,2,South,9.93,,,,,,,,2024.11,2024,11,
90311,1,cagl,167.8,904,17.5,15.8,2,South,24.47,,,,,,,,2024.11,2024,11,
90354,1,litu,670.9,905,10.6,5,2,South,39.71,,,,,,,,2024.11,2024,11,
90544,1,qupr,199,911,18.5,15.4,2,South,6.16,,,,,,,,2024.11,2024,11,
90612,1,quru,552,910,10.7,14,2,South,43.81,,,,,,,,2024.11,2024,11,
90631,1,quve,180,911,1.5,13.9,2,South,10.11,,,,,,,,2024.11,2024,11,
90660,1,quru,988,913,4.9,7.9,2,South,64.5,,,,,,,,2024.11,2024,11,
91451,1,litu,555.1,907,18.7,17.6,2,South,68,,,,,,,,2024.11,2024,11,
91474,1,litu,438.2,908,14.5,4.7,2,South,89.16,,,,,,,,2024.11,2024,11,
91476,1,litu,505.4,908,18.4,2.4,2,South,112.88,,,,,,,,2024.11,2024,11,
91477,1,litu,210,908,19.3,3.5,2,South,60.16,,,,,,,,2024.11,2024,11,
91486,1,cagl,570.9,908,17.5,9.2,2,South,74.67,,,,,,,,2024.11,2024,11,
100498,1,caco,152,1003,16.7,14.2,2,South,26.34,,,,,,,,2024.11,2024,11,
100516,1,litu,1036.1,1004,17.9,2.3,2,South,129.11,,,,,,,,2024.11,2024,11,
100562,1,litu,628.2,1004,9.1,19.2,2,South,45.35,,,,,,,,2024.11,2024,11,
100612,1,litu,1200.9,1003,12,4.4,2,South,70.6,,,,,,,,2024.11,2024,11,
100754,1,quru,430.2,1005,3.8,6.8,2,South,61.91,,,,,,,,2024.11,2024,11,
100771,1,quru,968,1005,8.5,17,2,South,131.78,,,,,,,,2024.11,2024,11,
100905,1,litu,680,1008,10,1.6,2,South,51.2,,,,,,,,2024.11,2024,11,
100906,1,litu,497,1008,9.3,1.1,2,South,38.74,,,,,,,,2024.11,2024,11,
100955,1,quru,321,1010,16.7,6.8,2,South,24.81,,,,,,,,2024.11,2024,11,
100960,1,quru,563.5,1010,13.8,10.5,2,South,7.93,,,,,,,,2024.11,2024,11,
100963,1,caovl,204,1010,11.1,14.7,2,South,21.75,,,,,,,,2024.11,2024,11,
101008,1,tiam,177,1006,4.2,11.6,2,South,21,,,,,,,,2024.11,2024,11,
101075,1,qupr,373,1008,3,13.1,2,South,11.16,,,,,,,,2024.11,2024,11,
101111,1,litu,96.2,1011,0.1,1.3,2,South,40.69,,,,,,,,2024.11,2024,11,
101118,1,litu,190.7,1011,0.3,3,2,South,48.08,,,,,,,,2024.11,2024,11,
110061,1,litu,1205,1101,17,10,2,South,37.3,,,,,,,,2024.11,2024,11,
110526,1,ceca,143,1103,15.1,3,2,South,23.68,,,,,,,,2024.11,2024,11,
110680,1,litu,683.9,1104,2,6.5,2,South,50.56,,,,,,,,2024.11,2024,11,
110788,1,litu,656,1104,19.9,11.7,2,South,30.79,,,,,,,,2024.11,2024,11,
110791,1,litu,660,1104,11.3,10,2,South,29.25,,,,,,,,2024.11,2024,11,
110798,1,litu,712.3,1104,16,15.5,2,South,76.98,,,,,,,,2024.11,2024,11,
110901,1,litu,524.1,1105,20,4.1,2,South,117.7,,,,,,,,2024.11,2024,11,
111014,1,litu,671.3,1107,13.9,12.2,2,South,33.58,,,,,,,,2024.11,2024,11,
111030,1,litu,600.5,1107,15.1,19.9,2,South,119.08,,,,,,,,2024.11,2024,11,
111032,1,litu,600,1107,10.3,19,2,South,79.78,,,,,,,,2024.11,2024,11,
111032,2,litu,424.3,1107,10.3,19,2,South,70.27,,,,,,,,2024.11,2024,11,
111039,1,litu,463,1108,19.7,4.1,2,South,34.01,,,,,,,,2024.11,2024,11,
111092,1,litu,543.6,1110,18.3,17.7,2,South,73.36,,,,,,,,2024.11,2024,11,
111093,1,litu,460.5,1110,13.4,16.4,2,South,131.11,,,,,,,,2024.11,2024,11,
120278,1,litu,830,1201,5,8.6,2,South,59.04,,,,,,,,2024.11,2024,11,
120755,1,litu,639,1204,6.8,10,2,South,43.31,,,,,,,,2024.11,2024,11,
120777,1,litu,527,1205,3.8,0.2,2,South,143.23,,,,,,,,2024.11,2024,11,
120781,1,litu,605.9,1205,3,2.2,2,South,135.68,,,,,,,,2024.11,2024,11,
120790,1,litu,452.5,1205,0.4,6.2,2,South,39.92,,,,,,,,2024.11,2024,11,
121195,1,quru,914.7,1211,12.4,0.4,2,South,10.1,,,,,,,,2024.11,2024,11,
121221,1,litu,117.2,1207,1.7,19.3,2,South,11.02,,,,,,,,2024.11,2024,11,
121275,1,qupr,256,1209,1.7,16.9,2,South,31.05,,,,,,,,2024.11,2024,11,
121291,1,qupr,460,1210,2.8,9.4,2,South,31.97,,,,,,,,2024.11,2024,11,
121301,1,caovl,241.3,1211,1.2,2.5,2,South,18.67,,,,,,,,2024.11,2024,11,
121305,1,quru,753.8,1211,1.1,11.2,2,South,35.89,,,,,,,,2024.11,2024,11,
130838,1,litu,652.4,1305,12.2,1,2,South,75.21,,,,,,,,2024.11,2024,11,
131009,1,quve,757.6,1308,13.9,0.7,2,South,85.37,,,,,,,,2024.11,2024,11,
131087,1,quru,665,1310,17.3,17.8,2,South,104.57,,,,,,,,2024.11,2024,11,
131092,1,litu,472.9,1311,13.1,2.7,2,South,104.19,,,,,,,,2024.11,2024,11,
131096,1,litu,280.8,1311,19,4.7,2,South,20.12,,,,,,,,2024.11,2024,11,
140646,1,litu,716.8,1405,1,8.3,2,South,124.2,,,,,,,,2024.11,2024,11,
140751,1,quve,716.8,1408,9.9,1.5,2,South,75.5,,,,,,,,2024.11,2024,11,
140813,1,litu,700.6,1410,8.3,11.2,2,South,8.3,,,,,,,,2024.11,2024,11,
140821,1,litu,531.4,1411,4.6,0.4,2,South,86.78,,,,,,,,2024.11,2024,11,
140825,1,litu,523,1411,8,5.9,2,South,67.7,,,,,,,,2024.11,2024,11,
140829,1,litu,642,1411,0.6,4.9,2,South,75.65,,,,,,,,2024.11,2024,11,
140833,1,litu,561.3,1411,5.6,9.5,2,South,36.61,,,,,,,,2024.11,2024,11,
10469,1,litu,838.8,109,9.7,1,3,South,112.4,,,,,,,,2024.11,2024,11,
10587,1,litu,985,113,2.6,13,3,South,105.92,,,,,,,,2024.11,2024,11,
10609,1,cagl,439,111,19.5,2.9,3,South,9.36,,,,,,,,2024.11,2024,11,
10643,1,fagr,693,112,0.6,13,3,South,18.33,,,,,,,,2024.11,2024,11,
10669,1,cagl,811,114,6.1,12.3,3,South,5.73,,,,,,,,2024.11,2024,11,
10671,1,quru,851,114,6.2,14.5,3,South,12.63,,,,,,,,2024.11,2024,11,
20587,1,litu,1207.3,208,14.8,1.3,3,South,72.85,,,,,,,,2024.11,2024,11,
20617,1,litu,851,209,6.9,7.6,3,South,78.69,,,,,,,,2024.11,2024,11,
20712,1,litu,896.2,212,1.5,8.3,3,South,113.4,,,,,,,,2024.11,2024,11,
20737,1,tiam,180,213,12.6,3.8,3,South,14.68,,,,,,,,2024.11,2024,11,
30225,1,qual,301,306,20,3.1,3,South,39.83,,,,,,,,2024.11,2024,11,
30233,1,fagr,1072,306,15.6,16.2,3,South,100.46,,,,,,,,2024.11,2024,11,
30234,1,fagr,81,306,15.3,18.5,3,South,21.05,,,,,,,,2024.11,2024,11,
30262,1,cagl,354,311,1.7,12,3,South,9.44,,,,,,,,2024.11,2024,11,
30273,1,fagr,490,311,9.6,4.1,3,South,9.81,,,,,,,,2024.11,2024,11,
30331,1,cagl,231,306,8.3,19.5,3,South,26.95,,,,,,,,2024.11,2024,11,
30333,1,fagr,222,306,14,19.3,3,South,105.93,,,,,,,,2024.11,2024,11,
30339,1,litu,153.1,307,8.6,4.1,3,South,15.68,,,,,,,,2024.11,2024,11,
30339,2,litu,153.1,307,8.6,4.1,3,South,12.69,,,,,,,,2024.11,2024,11,
30339,3,litu,153.1,307,8.6,4.1,3,South,54.27,,,,,,,,2024.11,2024,11,
30462,1,litu,492,313,16.2,19,3,South,28.4,,,,,,,,2024.11,2024,11,
30467,1,litu,608,314,17.3,3,3,South,5.74,,,,,,,,2024.11,2024,11,
30512,1,quru,845.5,313,2.9,14.3,3,South,91.4,,,,,,,,2024.11,2024,11,
40562,1,fagr,86,406,6.3,16.2,3,South,8.88,,,,,,,,2024.11,2024,11,
40563,1,fagr,365,406,3.6,17.8,3,South,117.44,,,,,,,,2024.11,2024,11,
40564,1,fagr,69,406,2.4,12.4,3,South,13.1,,,,,,,,2024.11,2024,11,
40566,1,cagl,270.2,406,1.1,9.4,3,South,46.19,,,,,,,,2024.11,2024,11,
40567,1,fagr,93.3,406,1.6,7.2,3,South,30.78,,,,,,,,2024.11,2024,11,
40568,1,fagr,206,406,0.1,5.2,3,South,71.71,,,,,,,,2024.11,2024,11,
40569,1,litu,280,407,5.6,1.7,3,South,10.7,,,,,,,,2024.11,2024,11,
40635,1,cato,258.7,408,18.7,1,3,South,64.91,,,,,,,,2024.11,2024,11,
40941,1,litu,653,413,6,15.4,3,South,43.22,,,,,,,,2024.11,2024,11,
40942,1,acru,395.9,414,2.2,2,3,South,12.41,,,,,,,,2024.11,2024,11,
40972,1,litu,847,415,7.2,9.6,3,South,84.46,,,,,,,,2024.11,2024,11,
50525,1,qual,514,512,8.3,7.4,3,South,62.48,,,,,,,,2024.11,2024,11,
50562,1,quru,695,514,6.9,12.5,3,South,66.67,,,,,,,,2024.11,2024,11,
50622,1,qual,650,513,16.8,9.4,3,South,43.32,,,,,,,,2024.11,2024,11,
50646,1,quru,351,514,19.6,9.4,3,South,57.8,,,,,,,,2024.11,2024,11,
50650,1,litu,184.3,514,19.5,14.9,3,South,29.22,,,,,,,,2024.11,2024,11,
50654,1,litu,717.2,514,17.2,19.1,3,South,93.09,,,,,,,,2024.11,2024,11,
60456,1,caca,64.5,614,5.3,15,3,South,10.75,,,,,,,,2024.11,2024,11,
60457,1,caca,99.5,614,4,15.2,3,South,17.89,,,,,,,,2024.11,2024,11,
60458,1,fagr,269.5,615,1.9,0,3,South,70.64,,,,,,,,2024.11,2024,11,
60459,1,fagr,99.7,615,2,3,3,South,30.8,,,,,,,,2024.11,2024,11,
60462,1,fagr,209.5,615,5.6,7.6,3,South,13.46,,,,,,,,2024.11,2024,11,
60463,1,juni,468,615,7.2,8,3,South,97.5,,,,,,,,2024.11,2024,11,
60468,1,caca,74,615,5.4,9.6,3,South,14.42,,,,,,,,2024.11,2024,11,
60469,1,cofl,70,615,6.8,9.8,3,South,10.36,,,,,,,,2024.11,2024,11,
60566,1,fagr,194.2,614,10,11,3,South,26.29,,,,,,,,2024.11,2024,11,
60567,1,litu,536.8,614,11.6,11.2,3,South,87.55,,,,,,,,2024.11,2024,11,
60568,1,caca,96,614,15.5,15.6,3,South,21.41,,,,,,,,2024.11,2024,11,
60573,1,tiam,258.5,614,8.5,16.3,3,South,69.58,,,,,,,,2024.11,2024,11,
60576,1,caca,95.1,615,17.1,1,3,South,30.06,,,,,,,,2024.11,2024,11,
60577,1,litu,546.2,615,12.7,1.4,3,South,61.42,,,,,,,,2024.11,2024,11,
60578,1,caca,78.5,615,13.2,9.9,3,South,34.14,,,,,,,,2024.11,2024,11,
60581,1,litu,685.1,615,19.8,9.3,3,South,52.57,,,,,,,,2024.11,2024,11,
60582,1,quru,285.1,615,20,10.2,3,South,13.45,,,,,,,,2024.11,2024,11,
60586,1,caca,62.5,615,16.2,9.3,3,South,14.73,,,,,,,,2024.11,2024,11,
60587,1,caca,81,615,14,9.8,3,South,24.93,,,,,,,,2024.11,2024,11,
60588,1,caco,292.3,615,13.4,7.3,3,South,59.6,,,,,,,,2024.11,2024,11,
70216,1,quve,930.2,701,18.7,11.6,3,South,28.17,,,,,,,,2024.11,2024,11,
70220,1,qual,557,702,18.3,0.8,3,South,78.08,,,,,,,,2024.11,2024,11,
70492,1,nysy,198.6,714,0.1,11.2,3,South,46.6,,,,,,,,2024.11,2024,11,
70493,1,litu,539.2,714,0.3,15.2,3,South,38.82,,,,,,,,2024.11,2024,11,
70494,2,caca,60,714,0.4,15.7,3,South,7.46,,,,,,,,2024.11,2024,11,
70495,1,caca,79,714,1.7,18.6,3,South,15.52,,,,,,,,2024.11,2024,11,
70581,1,quru,614.5,714,13.7,1.2,3,South,45.27,,,,,,,,2024.11,2024,11,
80121,1,quve,114,801,8.8,19.2,3,South,17.95,,,,,,,,2024.11,2024,11,
90684,1,ploc,446,915,9.1,6.2,3,South,41.31,,,,,,,,2024.11,2024,11,
101223,1,qupr,679,1013,9.4,17.8,3,South,64.95,,,,,,,,2024.11,2024,11,
111305,1,caovl,229,1113,4.7,19.3,3,South,3.12,,,,,,,,2024.11,2024,11,
121438,1,caco,393,1215,19.1,6.5,3,South,47,,,,,,,,2024.11,2024,11,
131188,1,litu,586.3,1313,10,15.3,3,South,92.64,,,,,,,,2024.11,2024,11,
131233,1,litu,301.6,1313,18.3,19.6,3,South,95.58,,,,,,,,2024.11,2024,11,
131239,1,quru,587.1,1314,19.5,5.7,3,South,79.71,,,,,,,,2024.11,2024,11,
140872,1,litu,599.8,1413,6.1,14.9,3,South,97.6,,,,,,,,2024.11,2024,11,
141216,1,caco,147,1415,2.1,6.2,3,South,43.59,,,,,,,,2024.11,2024,11,
12025,1,quru,832.5,117,5,16.3,4,North,140.36,,,,,,,,2024.11,2024,11,
12259,1,litu,1018.8,125,16.3,1.5,4,North,29.45,,,,,,,,2024.11,2024,11,
12416,1,cato,126,129,17.1,16.1,4,North,17.29,,,,,,,,2024.11,2024,11,
12508,1,litu,920,131,10.7,10.4,4,North,76.88,,,,,,,,2024.11,2024,11,
22004,1,litu,896.2,217,8.6,1.7,4,North,92.29,,,,,,,,2024.11,2024,11,
22041,1,litu,817,217,1.8,19,4,North,85.75,,,,,,,,2024.11,2024,11,
22141,1,tiam,142,221,1.9,1.2,4,North,12.87,,,,,,,,2024.11,2024,11,
22170,1,litu,1128,221,7.9,13.8,4,North,51.35,,,,,,,,2024.11,2024,11,
22186,1,tiam,370,222,17,7.5,4,North,15.28,,,,,,,,2024.11,2024,11,
22315,1,caco,550,225,11,4,4,North,25.55,,,,,,,,2024.11,2024,11,
22489,1,cato,137,229,16.1,1.8,4,North,11.24,,,,,,,,2024.11,2024,11,
22601,1,juni,197,231,17.8,10,4,North,10.53,,,,,,,,2024.11,2024,11,
30584,1,quve,873.5,316,2.2,14.4,4,North,6.76,,,,,,,,2024.11,2024,11,
32097,1,litu,651,320,17.9,3,4,North,58.37,,,,,,,,2024.11,2024,11,
32126,1,litu,995.5,321,9.6,5,4,North,21.32,,,,,,,,2024.11,2024,11,
32157,1,tiam,382,322,7.5,4,4,North,14.83,,,,,,,,2024.11,2024,11,
32180,2,tiam,183,322,6.4,12.3,4,North,16.58,,,,,,,,2024.11,2024,11,
32381,1,qupr,834,327,4.6,12.8,4,North,15.45,,,,,,,,2024.11,2024,11,
32423,1,litu,914,329,17.6,13.1,4,North,131.69,,,,,,,,2024.11,2024,11,
42009,1,ploc,576.8,417,19.5,3.7,4,North,17.38,,,,,,,,2024.11,2024,11,
52087,1,quru,1451,519,1.1,11.1,4,North,50.96,,,,,,,,2024.11,2024,11,
52190,1,quru,968.5,522,16.4,3.4,4,North,85.96,,,,,,,,2024.11,2024,11,
52344,1,cagl,269,528,14.3,5.9,4,North,9.93,,,,,,,,2024.11,2024,11,
52384,1,caovl,121,529,1.2,13.1,4,North,8.6,,,,,,,,2024.11,2024,11,
62114,1,quve,306,619,18.7,12.6,4,North,64.23,,,,,,,,2024.11,2024,11,
62121,1,cato,114,619,5.1,12.8,4,North,13.93,,,,,,,,2024.11,2024,11,
62128,1,quru,114,620,8,0.8,4,North,17.96,,,,,,,,2024.11,2024,11,
62181,1,quve,1118.5,621,8.8,13.5,4,North,7.14,,,,,,,,2024.11,2024,11,
62224,1,litu,1040.5,622,3.2,17.3,4,North,63.06,,,,,,,,2024.11,2024,11,
62241,1,litu,928.5,623,13.9,0.7,4,North,48.24,,,,,,,,2024.11,2024,11,
72024,1,quve,482.3,717,20,9.6,4,North,71.78,,,,,,,,2024.11,2024,11,
72104,1,qual,260,718,6.2,17.8,4,North,29.39,,,,,,,,2024.11,2024,11,
72107,1,fagr,441,719,8,1.2,4,North,16.12,,,,,,,,2024.11,2024,11,
72115,1,litu,479.9,719,11.2,10.7,4,North,121.69,,,,,,,,2024.11,2024,11,
72116,1,litu,502,719,14.4,10.8,4,North,68.54,,,,,,,,2024.11,2024,11,
72122,1,caca,81,719,19.9,19,4,North,11.33,,,,,,,,2024.11,2024,11,
72124,1,quru,747.2,719,12.5,19.4,4,North,88.28,,,,,,,,2024.11,2024,11,
72149,1,litu,554.1,720,13.8,0.7,4,North,62.28,,,,,,,,2024.11,2024,11,
72173,1,qual,450,720,6,10.2,4,North,34.78,,,,,,,,2024.11,2024,11,
72210,1,qual,872,721,5.2,11.5,4,North,46.37,,,,,,,,2024.11,2024,11,
72232,1,qual,728.5,722,14.5,12.6,4,North,15.58,,,,,,,,2024.11,2024,11,
72248,1,caovl,313.2,723,15,0.3,4,North,83.16,,,,,,,,2024.11,2024,11,
82091,1,caovl,193,819,3.5,1.3,4,North,2.64,,,,,,,,2024.11,2024,11,
82117,1,cato,155,819,11.6,14.3,4,North,13.31,,,,,,,,2024.11,2024,11,
82125,1,cagl,145.9,819,1.6,14.3,4,North,35.62,,,,,,,,2024.11,2024,11,
82138,1,quru,632.1,820,1.1,2.7,4,North,112.54,,,,,,,,2024.11,2024,11,
82203,1,litu,654,822,8,9.4,4,North,79.46,,,,,,,,2024.11,2024,11,
82219,1,ceca,87,822,14.7,18.8,4,North,18.66,,,,,,,,2024.11,2024,11,
82223,1,litu,427,822,0.5,17.7,4,North,73.74,,,,,,,,2024.11,2024,11,
82226,1,litu,253.3,823,2,4,4,North,71.02,,,,,,,,2024.11,2024,11,
90752,1,qual,510.1,916,12.4,7.4,5,North,118.39,,,,,,,,2024.11,2024,11,
92018,1,acru,519.5,917,16.2,5.6,5,North,11.03,,,,,,,,2024.11,2024,11,
92112,1,litu,489.1,919,14.4,18.8,5,North,57.8,,,,,,,,2024.11,2024,11,
92115,1,acru,153,919,10.1,19.3,5,North,13.56,,,,,,,,2024.11,2024,11,
92140,1,cato,60,920,18.7,0.7,5,North,14.59,,,,,,,,2024.11,2024,11,
92141,1,cagl,84.3,920,19.4,4.7,5,North,11.37,,,,,,,,2024.11,2024,11,
92237,1,nysy,218.1,922,14.7,19.5,5,North,18.73,,,,,,,,2024.11,2024,11,
92280,1,quve,650.3,923,15,6.9,5,North,50.52,,,,,,,,2024.11,2024,11,
102148,1,cato,251.2,1019,2,15.4,5,North,26.24,,,,,,,,2024.11,2024,11,
102149,1,cagl,84,1020,1.4,0.2,5,North,8,,,,,,,,2024.11,2024,11,
102150,1,qual,479,1020,4.3,2.1,5,North,7.03,,,,,,,,2024.11,2024,11,
102154,1,qual,512.5,1020,5.4,8.5,5,North,18.21,,,,,,,,2024.11,2024,11,
102163,1,cato,101,1020,14.3,14.8,5,North,8.68,,,,,,,,2024.11,2024,11,
102177,1,qual,720,1020,3.4,11.7,5,North,20.92,,,,,,,,2024.11,2024,11,
102199,1,cagl,449,1021,1.3,8,5,North,128.21,,,,,,,,2024.11,2024,11,
